loved,posted_count,loved_count,artist_index_mod,speechiness,loudness,tagsum,artist,title,sitename,mediaid,site_index_mod,tagsum_raw
TRUE,0.085201794,0.110710431,0.5,0.366352,0.499076532,0.5,drake,Over,surviving the golden age,105xk,0.5,4
TRUE,0.00896861,0.037298307,0,0.029625,0.632835046,0.5,angusjuliastone,Silver Coin,Streetkiss music,106x7,1,4
TRUE,0.062780269,0.054407623,0,0.033954,0.626976798,0.125,jonsi,Tornado,The Wounded Jukebox,1077k,0,1
TRUE,0.022421525,0.137269353,1,0,0.949238139,0.5,yeahyeahyeahs,Maps [TGIK Remix],Raised on Indie,107a4,0,4
TRUE,0.139013453,0.634597668,1,0.040682,0.833718112,0.25,twodoorcinemaclub,What You Know,Simply 7,107fw,0,2
TRUE,0,0.02484799,0,0,0.949238139,0.375,birdman,Loyalty f. Lil Wayne & Tyga,earmilk,107nt,0,3
TRUE,0,0.08220368,0,0,0.949238139,0,kidcudiftsnoopdogg,I Do My Thing (prod. by Dr. Dre),First up!,107z7,0,0
TRUE,0.040358744,0.041325577,0.7,0,0.949238139,0.125,thewhitepanda,"Ready For My Neck, My Back (Hot Chip // Khia)",FYaCity,1088r,0,1
TRUE,0.013452915,0.025453397,0,0,0.949238139,0.5,kidzinthehall,Take Over the World (Feat. Colin Munroe) (Prod. Just Blaze),blahblahblahscience,108mg,0,4
TRUE,0.004484305,0.122502698,0,0,0.949238139,0.375,clockwork,Office Musik (Dwight K. Shrute Vs. Weezy F. Baby),The Music Ninja,10dfz,0,3
TRUE,0.062780269,0.248637835,0.7,0,0.949238139,0.125,thewhitepanda,Tipsy In The Sun (Weezer // J-Kwon),Salacious Sound,10e1a,0.25,1
TRUE,0.035874439,0.225184912,1,0,0.949238139,0.375,thehoodinternet,Nuthin' But A Journal Thang (Dr. Dre vs Class Actress),Hear No Evil,10g9w,1,3
TRUE,0.035874439,0.004316812,0,0.034774,0.294009004,0.5,dawes,When My Time Comes,The Ruckus,10hkx,0,4
TRUE,0.417040359,0.585928246,0,0.068147,0.771268614,0.5,theblackkeys,Tighten Up,Indie Shuffle,10k0q,0,4
TRUE,0.031390135,0.051854387,1,0,0.949238139,0.625,waitwhat,juicy-r [the notorious b.i.g. vs. the xx],Indie Shuffle,10npy,0.47826087,5
TRUE,0.004484305,0.007317523,0,0,0.949238139,0.25,bonethugsnharmony,D.O.A. (Jay Z Cover),melophobe,10nwd,0,2
TRUE,0,0.008870522,0,0.161527,0.675487706,0.5,sublime,Scarlet Begonias,Hear No Evil,10rst,0,4
TRUE,0.004484305,0.012818826,1,0,0.949238139,0.375,waitwhat,it's all about the crystalizabeths [the notorious b.i.g. vs. the xx],THE RATCATCHERS,10s0d,0,3
TRUE,0.00896861,0.043168119,1,0,0.949238139,0.375,waitwhat,mo stars mo problems [the notorious b.i.g. vs. the xx],Sunset in the Rearview,10s0e,0.545454545,3
TRUE,0.00896861,0.09404859,0,0,0.949238139,0,jayzvsblackkids,Not Gunna Encore (Ha! Yes Mash-Up),say it like slam,10s43,0,0
TRUE,0.022421525,0.110552499,1,0,0.949238139,0.875,waitwhat,Islands Is The Limit (The Notorious B.I.G. vs. the xx),La detente generale,10s72,1,7
TRUE,0.385650224,0.585164907,1,0.037011,0.776030244,0.375,twodoorcinemaclub,Something Good Can Work (The Twelves Remix),All Things Go,10spe,0.666666667,3
TRUE,0.004484305,0.101629333,0,0,0.949238139,0,kidcudivsthepostalservice,Man On the Moon (Such Great Heights RMX),Muzjiks,10tpe,0,0
TRUE,0.062780269,0.038956595,0,0.34078,0.860325522,0.125,trampledbyturtles,Wait So Long,SUCKA PANTS,110ex,0,1
TRUE,0.040358744,0.211128952,1,0,0.949238139,0.25,chiddybang,Hey London,Sunset in the Rearview,112cr,0.545454545,2
TRUE,0.004484305,0.05072254,0,0,0.949238139,0,ludacrisvske$ha,$hwagger Jagger (Pres Mashup),20 Watts,112sm,0,0
TRUE,0.049327354,0.136979811,0,0,0.949238139,0,justinbieberxmstrkrft,Heartbreaker Baby (CJ Milli Mix),Music That We Like,11626,0,0
TRUE,0.130044843,0.432760391,0,0.028789,0.748153065,0.25,thetempertrap,Sweet Disposition (RAC Mix),J(am) of the Day,11akb,0,2
TRUE,0.02690583,0.141954673,0,0.378394,0.677103775,0.375,bob,Not Lost feat. T.I.,Mixtape Maestro,11egv,0,3
TRUE,0.098654709,0.068489906,0,0,0.949238139,0.375,ugk,Int'l Players Anthem (Feat. OutKast),The Music Ninja,11f4z,0,3
TRUE,0.00896861,0.037693138,1,0.247258,0.5165647,0.375,gangstarr,Above The Clouds,A Grumpy Old Man With A Beard,11f9p,0,3
TRUE,0,0.040746493,1,0,0.949238139,0.375,lupefiasco,Love Letter To The Beat,Pigeons and Planes,11fnw,0.75,3
TRUE,0.004484305,0.036903477,0,0,0.949238139,0.25,camron,Spend The Night,One A Day,11gk0,0,2
TRUE,0,0.0161354,0.666666667,0,0.949238139,0.125,mgmt,Kids (DJ STHLM Remix),earmilk,11mhk,1,1
TRUE,0,0.036140138,1,0,0.949238139,0.375,shwayze,04 GET U HOME - (Bloody Beetroots Italo Disco Rmx),Stoney Roads,11mk1,0,3
TRUE,0,0.031586428,0,0.070688,0.547760591,0.625,lilyallen,Everybody's Changing,Town Full of Losers,11nf2,0,5
TRUE,0.004484305,0.021083941,0,0,0.949238139,0.25,thejimihendrixexperience,Like A Rolling Stone (Bob Dylan Cover),indie shuffle,11ngk,0,2
TRUE,0.134529148,0.132584033,0,0,0.949238139,0,crystalcastles,Vietnam (lightsoverla remix),ACE,11nnh,0,0
TRUE,0.053811659,0.293016767,0,0,0.949238139,0.25,deadmau5,Some Chords (Original Mix),Intentional Independent Inspiration,11p39,0,2
TRUE,0.040358744,0.126161459,0.7,0,0.949238139,0.125,thewhitepanda,Drake & Diane (Drake // John Mellencamp),Silence Nogood,11px3,0.583333333,1
TRUE,0.031390135,0.240951804,1,0.050254,0.800271269,0.5,twodoorcinemaclub,"Eat That Up, It's Good For You",Indie Shuffle,11sem,0.47826087,4
TRUE,0.02690583,0.059619384,0,0.190141,0.724633499,0.375,daviddallas,Til Tomorrow,JayeL Audio Music,11whf,0,3
TRUE,0.013452915,0.097128267,0,0,0.949238139,0,bobasherroth,Fuck The Money,Hot Biscuits,11zec,0,0
TRUE,0.004484305,0.017635756,1,0.172805,0.807803301,0.625,outkast,Spottieottiedopaliscious,One A Day,120m5,0.75,5
TRUE,0,0.014161249,0,0.156701,0.774241025,0.25,atrak,O Let's Overdo It,First up!,12138,0,2
TRUE,0.004484305,0.058961333,1,0.100301,0.80200277,0.375,shwayze,Buzzin' (DJ Skeet Skeet & Cory Nitta Remix),Discobelle,121jz,1,3
TRUE,0,0.039719934,0,0,0.949238139,0,andre3000featnorahjones,Take off your cool,Avenge the Virgins,121k0,0,0
FALSE,0.00896861,0.00026322,0,0,0.949238139,0,emmylouharris,Millworker (James Taylor cover),Cover Lay Down,122mx,0,0
TRUE,0.040358744,0.149377484,0.7,0,0.949238139,0.125,thewhitepanda,The Next Starf*cker (Snoop & Dre meet Starfucker),Seattle in High Def,12bjt,0,1
TRUE,0.013452915,0.06504172,0,0.088265,0.79071915,0.375,ceelogreen,What Part Of Forever,the burning ear,12ewk,0,3
