artist,loved_count,mediaid,posted_count,sitename,time,title,loved,tags,artist_index_mod,site_index_mod
swimgoodxmerival,0.0350346134611,2cgp1,0.0224215246637,acid stag,199,Since You Asked (Star Slinger Edit),False,,0.0,0.0
justinjay,0.0126608933695,2ch75,0.0448430493274,Never Radio,374,Storm feat. Chris Lorenzo,False,,0.0,0.0
azealiabanks,0.405095943776,1z53b,0.112107623318,Inyourspeakers Media,245,Atm Jam feat. Pharrell (Kaytranada Edition),False,"hiphop,rap,electronic,femalevocalist,hiphouse",0.0,0.0
octobersveryown,0.0351925456029,2cgyf,0.0134529147982,Different Kitchen,191,Drake ~ Right Hand,False,,0.0,0.0
lèon,0.234055434182,2c5rg,0.0582959641256,Skeletory,196,Tired of Talking,False,,0.0,0.0
remyboyz,0.189281671975,2b5hn,0.0717488789238,The Fader,294,My Way RMX feat. Drake,False,,0.0,0.0
rac,0.0390882051012,2cjb0,0.0134529147982,The Songs We Love,170,Falling Hard (feat. Madi Diaz),False,,0.0,0.0
angusjuliastone,0.0113447921876,2cjaz,0.0,Indie Shuffle,310,From The Stalls,False,,0.0,0.478260869565
giraffage,0.0157932141823,2cgwy,0.0179372197309,blahblahblahscience,221,Hello / Be With You (Slow Magic Remix),False,,0.0,0.0
kygo,0.0534600300071,2cq6q,0.0,Dancing Astronaut,183,Piano Jam,False,,0.0,0.3
felixjaehn,0.108894211787,2cp2j,0.0403587443946,Waxhole,321,Book of Love (feat. Polina) (Extended Mix),False,,0.0,0.0
jungle,0.0792029691243,2cgpk,0.0448430493274,Harder Blogger Faster,266,Time (Darius Remix),False,,0.0,0.0
kygo,0.181858861309,2ckaj,0.0,Yaqui,237,Nothing Left (feat. Will Heard),False,,0.0,0.0
kraniumfeattydolla$ign,0.158590192414,2cj1e,0.00896860986547,Never Radio,205,Nobody Has To Know (Major Lazer & KickRaux Remix),False,,0.0,0.0
tommisch,0.124608459898,2cjjk,0.0807174887892,HUNGRY DRUMS,343,In The Midst Of It All (feat. Sam Wills),False,,0.0,0.0
partynextdoorxtravi$scott,0.0192677213024,2cgcp,0.00896860986547,House of Lords,196,No Feelings,False,,0.0,0.0
smallblack,0.0642257376747,2cje5,0.0941704035874,the bay bridged,301,Boys Life,False,,0.0,0.0
bagraiders,0.086257271459,2cgcj,0.0134529147982,Music For Ants,371,Wonderland,False,,0.0,0.0
kiiara,0.416203837751,2bxjv,0.107623318386,NME,226,Gold,False,,0.0,0.0
ferreckdawn,0.0140822826459,2cdjt,0.0179372197309,Indie Shuffle,178,Superman (Radio Edit),False,,0.0,0.0
roywood$,0.0775710036588,2chfd,0.0358744394619,Never Radio,252,Drama Feat. Drake,False,,0.0,0.0
haydenjames,0.354373404227,2cgs0,0.0627802690583,Scenewave,342,Something About You (ODESZA Remix),False,"deephouse,discohouse,electronic,house,disco",0.0,0.0
bagraiders,0.179121370851,2by3r,0.085201793722,EUPHORIA. Magazine,346,Vapour Trails,False,"electronic,australian,electro,dance,funk",0.0,0.0
krewella,0.0863625595536,2cfm9,0.00896860986547,POP ON AND ON,222,Somewhere To Run (Lost Kings Remix),False,"dubstep,electronic,femalevocalist,breakbeat,brostep",0.0,0.0
nvdes,0.0891263720355,2cen2,0.0627802690583,The Burning Ear,241,unforgettable,False,,0.0,0.0
liannelahavas,0.0997867916085,2cerg,0.0403587443946,Caveman Sound,230,What You Don't Do (Tom Misch Remix),False,"soul,folk,british,femalevocalist,indiefolk",0.0,0.0
kwabs,0.0451422705378,2cdvb,0.085201793722,The House of Coxhead,180,Look Over Your Shoulder (Produced by SOHN),False,"soul,electronic,british,alternative",0.0,0.0
drake,0.0339290884683,2cgdr,0.00448430493274,Never Radio,470,Hotline Bling (Prod by Nineteen85),False,"hiphop,rap,rhythmandblues,canadian",0.5,0.222222222222
jojee,0.0603827222237,2chxr,0.0358744394619,Going Solo,221,Think Of Anything,False,,0.0,0.0
skepta,0.0592508752073,2cb78,0.0493273542601,Pigeons and Planes,253,Ojuelegba Remix feat. Drake & Skepta,False,,0.0,0.0
royal,0.0514069121634,2cey6,0.0313901345291,Pilerats,207,Passenger (Hotel Garuda Remix),False,,0.0,0.0
lewisdelmar,0.0528283014398,2cgqv,0.0448430493274,Turntable Kitchen,225,Memories,False,,0.0,0.5
octobersveryown,0.063699297202,2cgye,0.0582959641256,The Passion of the Weiss,190,Drake ~ Charged Up,False,,0.0,0.0
theweeknd,0.218999236661,2bshg,0.0224215246637,THUMP,210,Can't Feel My Face (Rainer + Grimm Remix),False,,0.0,0.2
raeko,0.0886262535864,2chw6,0.0627802690583,Indietronica,250,Everybody Knows (feat. Mating Ritual),False,,0.0,0.0
ambassadeurs,0.0367718670211,2cfbr,0.0224215246637,Indie Shuffle,279,Looking At You (feat. C Duncan)(Moods Remix),False,,0.0,0.0
skizzymars,0.233844857993,25qd9,0.0224215246637,Indie Shuffle,224,Lucy (Olivver Remix),False,hiphop,0.0,0.0
elohim,0.0577768418836,2cet9,0.0896860986547,Nothing but hope and passion,200,Xanax,False,,0.0,0.0
octobersveryown,0.153088889474,2cgyd,0.0493273542601,PASSIØN PARTY,270,Drake ~ Hotline Bling,False,,0.0,0.0
beatconnection,0.0676476007475,2cfy5,0.0448430493274,blahblahblahscience,255,So Good,False,,0.0,0.0
evvy,0.111763312363,2cfg8,0.0448430493274,Going Solo,251,Tidal Wave,False,,0.0,0.0
muramasa,0.317022452686,2an66,0.067264573991,Poetry in an Empty Coke Can,197,6. Lovesick Fuck,False,,0.0,0.0
chetfaker,0.248927377537,2ch9v,0.183856502242,TheWebTape,224,1998 feat. Banks,False,,0.0,0.0
bagraiders,0.0784659524624,2cbrq,0.0358744394619,art felicis,234,Waterfalls,False,"electronic,australian,electro,dance,funk",0.0,0.0
jamiexx,0.153088889474,2bxh4,0.0313901345291,Through The Wire Music,221,Just Saying (Samuel Proffitt Remix),False,"electronic,dubstep,futuregarage,ukgarage,wonky",0.0,0.0
cassian,0.132531389013,28adb,0.0493273542601,Beautiful Buzzz,368,Running (Plastic Plates Remix),False,"electro,nudance,frenchtouch,frenchelectro,nudisco,frenchhouse,dance,house,electronic",0.0,0.0
majorlazer,0.471822273696,2bmb6,0.0313901345291,Musikfar,233,Be Together (feat. Wild Belle),False,"electronic,reggae,dub,electro",0.333333333333,0.0
foals,0.104103603485,2cdfq,0.085201793722,Noonday Tune,244,Mountain At My Gates,False,"indie,mathrock,indierock,british,electronic",0.0,0.0
jrjr,0.0667000078966,2ccdn,0.0179372197309,You Hear That?!?,228,Gone,False,,0.0,0.0
zolablood,0.0664894317075,2cb23,0.14798206278,Noonday Tune,278,Play Out,False,"indie,indietronica,downtempo,lofi,deephouse,try,",0.0,0.0
kiiara,0.120212681951,2ccj0,0.0582959641256,Pick Up The Headphones,261,Tennessee,False,,0.0,0.0
thewhitepanda,0.219078202732,2ce0p,0.0134529147982,Audio Aquarium,180,Try Madness (Dej Loaf // Muse),False,"mashup,electronic",0.7,0.0
rationale,0.117633123635,2cdfr,0.0627802690583,Vehlinggo,212,Fuel to the Fire,False,"rationale,sodwee",0.0,0.0
gibbzmusic,0.0498275907452,2cbsf,0.0493273542601,J(am) of the Day,269,Love Again,False,,0.0,0.333333333333
yearsyears,0.0437208812614,2cdpk,0.00896860986547,acid stag,221,Desire (Feki Remix),False,"electronic,indie,british,electropop,electronica",0.0,0.125
dawngolden,0.171330051854,25nbf,0.0627802690583,First Ear,214,All I Want (Manila Killa Remix),False,"electronic,indie,dreampop,ambient,chillwave",0.0,0.0
kanyewest,0.123871443237,25ke4,0.0224215246637,D SQUARED,286,Bound 2 (The Rooftop Boys Remix),False,"hiphop,rap,rhythmandblues,kanyewest",0.5,0.5
olivver,0.178094811929,2583z,0.0538116591928,Operation Every Band,145,Lucy (Hurt People Hurt People),False,,0.0,0.0
rustie,0.277486773183,25pza,0.192825112108,IHEARTCOMIX,181,Attak (feat. Danny Brown),False,"dubstep,electronic,wonky,grime,aquacrunk",0.0,0.0
lorde,0.164038851307,25mng,0.0807174887892,Salacious Sound,226,Tennis Court (Diplo's Andre Agassi Remix),False,"pop,indiepop,electronic,indie,newzealand,femalevocalist",0.0,0.25
whitneyhouston,0.101918875523,25mph,0.0269058295964,I Heart Moosiq,272,I Learned From The Best (Gryffin Remix),False,"pop,femalevocalist,soul,rhythmandblues,80s",0.0,0.0
50cent,0.234055434182,25ngr,0.0358744394619,gottadancedirty,348,21 Questions (SNBRN Remix),False,"rap,hiphop,gangstarap,50cent",0.0,0.0
adventureclub,0.179989997631,25nq8,0.0224215246637,Chubby Beavers,312,Gold (Candyland & REVOKE Remix),False,"dubstep,electronic,dance,filthstep",0.0,0.0
vicmensa,0.0386407306994,2cd4e,0.00448430493274,Different Kitchen,227,No Chill Feat. Skrillex X Jahlil Beats,False,"hiphop,rap,undergroundhiphop,chicago",0.0,0.0
rihanna,0.0574346555763,2bfw2,0.0224215246637,THUMP,308,Bitch Better Have My Money (Claude VonStroke Remix),False,"pop,rhythmandblues,femalevocalist,dance,hiphop,rihanna",0.0,0.0
yearsandyears,0.133268405675,25nxt,0.0582959641256,Unrecorded,233,Breathe (Blu Cantrell cover),False,,0.0,0.0
vancejoy,0.295491037351,25mg3,0.00448430493274,Hillydilly,224,Mess Is Mine,False,"folk,indie,australian,singersongwriter,acoustic",0.0,0.0
sum41,0.256297544155,25hpx,0.0313901345291,I Heart Moosiq,253,In Too Deep (Kasum Remix,False,"punkrock,punk,poppunk,rock,alternative",0.0,0.0
banks,0.500092127083,25mxa,0.224215246637,Inyourspeakers Media,250,BEGGIN FOR THREAD,False,"electronic,downtempo,femalevocalist,pop,indie",0.0,0.0
flumefeatkanyewest,0.35403121792,25mjj,0.0358744394619,Vanscene,218,Insane (White Panda Vocal Edit),False,,0.0,0.0
daywave,0.0390618830776,2ca8d,0.067264573991,Punch Magazine,272,Headcase,False,"indie,beach,rock,surfrock,pop,indierock,summer,lofi,surfpop,",0.0,0.0
cruisr,0.0384038324866,2cc6v,0.0313901345291,Idolator,173,Throw Shade,False,"indiepop,indie,pop",0.0,0.0
johnnewman,0.117843699824,2cd53,0.00896860986547,Caveman Sound,181,Come And Get It (Embody Remix),False,"pop,soul,british,neosoul",0.0,0.0
iconapop,0.0756494959332,2cbsb,0.0403587443946,Indie Music Filter,192,First Time,False,"electronic,electropop,swedish,synthpop,pop,femalevocalist,dance,electro",0.0,0.0
thedrums,0.0134505540786,2caaq,0.0224215246637,acid stag,192,There Is Nothing Left (TOKiMONSTA Remix),False,"indie,indierock,indiepop,surfrock,pop",0.333333333333,0.125
kurtvile,0.0674107025348,2ce4k,0.00896860986547,Indie Shuffle,299,Pretty Pimpin,False,"lofi,psychedelic,indie,bedroompop,noise,folk,singersongwriter",0.0,0.0
troubleknowsme,0.031560106341,2ccaw,0.0807174887892,Buzzbands.LA,218,Trouble Knows Me (prod. by Madlib),False,,0.0,0.0
harrisonbrome,0.032718275381,2carm,0.0358744394619,Free Indie,196,Midnight Island,False,,0.0,0.0
safia,0.0982074701903,2c4j9,0.0582959641256,The Record Stache,231,Embracing Me,False,"funky,indie,australian,electronica,house,electronic,electro,l,nudisco",0.0,0.0
