mediaid,url
2cc5g,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Rustie+-+Big+Catzz&artist=Rustie&bucket=audio_summary
2cca1,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Miss+Mirage&artist=NoMBe&bucket=audio_summary
2bzvm,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Heart+Attack+feat.+Owl+Eyes+%28Snakehips+Remix%29&artist=Flight+Facilities&bucket=audio_summary
25qd9,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Lucy+%28Olivver+Remix%29&artist=Skizzy+Mars&bucket=audio_summary
2c856,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Crucify&artist=K-OS&bucket=audio_summary
1ffz9,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Ambition+%28feat.+Meek+Mill+%26+Rick+Ross%29&artist=Wale&bucket=audio_summary
hx94,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Embrace+feat.+Ladyhawke+%28Fred+Falke+%26+Miami+Horror+remix%29&artist=Pnau&bucket=audio_summary
2bwhp,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Abrasive&artist=Ratatat&bucket=audio_summary
25ke4,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Bound+2+%28The+Rooftop+Boys+Remix%29&artist=Kanye+West&bucket=audio_summary
25nbf,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=All+I+Want+%28Manila+Killa+Remix%29&artist=Dawn+Golden&bucket=audio_summary
2cbrq,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Waterfalls&artist=Bag+Raiders&bucket=audio_summary
cr02,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Electric+Feel&artist=MGMT&bucket=audio_summary
2bxh4,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Just+Saying+%28Samuel+Proffitt+Remix%29&artist=Jamie+XX&bucket=audio_summary
1zdn7,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Feels+Like+We+Only+Go+Backwards+%28Tame+Impala+Cover%29&artist=Say+Lou+Lou&bucket=audio_summary
2cfm9,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Somewhere+To+Run+%28Lost+Kings+Remix%29&artist=Krewella&bucket=audio_summary
2cerg,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=What+You+Don%27t+Do+%28Tom+Misch+Remix%29&artist=Lianne+La+Havas&bucket=audio_summary
2cen2,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=unforgettable&artist=nvdes&bucket=audio_summary
2cgs0,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Something+About+You+%28ODESZA+Remix%29&artist=Hayden+James&bucket=audio_summary
2cdxw,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Ignite&artist=RKCB&bucket=audio_summary
25mg3,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Mess+Is+Mine&artist=Vance+Joy&bucket=audio_summary
25hpx,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=In+Too+Deep+%28Kasum+Remix&artist=Sum+41&bucket=audio_summary
2ceh0,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Pray+For+Rain&artist=Pure+Bathing+Culture&bucket=audio_summary
2by3r,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Vapour+Trails&artist=Bag+Raiders&bucket=audio_summary
15sj5,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Dancing+With+The+Dj&artist=The+Knocks&bucket=audio_summary
2ce4z,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Leave+It+There+%28+Produced+By+Sonny+Digital+%29&artist=ILoveMakonnen&bucket=audio_summary
2cgye,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Drake+%7E+Charged+Up&artist=octobersveryown&bucket=audio_summary
2cgdr,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Hotline+Bling+%28Prod+by+Nineteen85%29&artist=Drake&bucket=audio_summary
2cdvb,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Look+Over+Your+Shoulder+%28Produced+by+SOHN%29&artist=Kwabs&bucket=audio_summary
2c48m,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Landslide&artist=Oh+Wonder&bucket=audio_summary
28adb,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Running+%28Plastic+Plates+Remix%29&artist=Cassian&bucket=audio_summary
2cfw3,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Disarm+You+feat.+Ilsey&artist=Kaskade&bucket=audio_summary
2bmb6,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Be+Together+%28feat.+Wild+Belle%29&artist=Major+Lazer&bucket=audio_summary
2583z,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Lucy+%28Hurt+People+Hurt+People%29&artist=Olivver&bucket=audio_summary
25nxt,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Breathe+%28Blu+Cantrell+cover%29&artist=Years+and+Years&bucket=audio_summary
25ngr,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=21+Questions+%28SNBRN+Remix%29&artist=50+Cent&bucket=audio_summary
25nq8,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Gold+%28Candyland+%26+REVOKE+Remix%29&artist=Adventure+Club&bucket=audio_summary
25mph,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=I+Learned+From+The+Best+%28Gryffin+Remix%29&artist=Whitney+Houston&bucket=audio_summary
25p2d,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Last+Night+feat.+Craig+Stickland+%28Strokes+Cover%29&artist=Natural+Animal&bucket=audio_summary
25pza,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Attak+%28feat.+Danny+Brown%29&artist=Rustie&bucket=audio_summary
25mng,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Tennis+Court+%28Diplo%27s+Andre+Agassi+Remix%29&artist=Lorde&bucket=audio_summary
2c4j9,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Embracing+Me&artist=SAFIA&bucket=audio_summary
2carm,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Midnight+Island&artist=Harrison+Brome&bucket=audio_summary
2ccaw,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Trouble+Knows+Me+%28prod.+by+Madlib%29&artist=Trouble+Knows+Me&bucket=audio_summary
2ce4k,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Pretty+Pimpin&artist=Kurt+Vile&bucket=audio_summary
2caaq,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=There+Is+Nothing+Left+%28TOKiMONSTA+Remix%29&artist=The+Drums&bucket=audio_summary
2cbsb,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=First+Time&artist=Icona+Pop&bucket=audio_summary
2c9gy,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=kehlani%2C+jealous+%28carmack+remix%29&artist=MR%E2%80%A2CAR%2F%5C%5CACK&bucket=audio_summary
2caag,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Desire&artist=Dilly+Dally&bucket=audio_summary
2bfw2,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Bitch+Better+Have+My+Money+%28Claude+VonStroke+Remix%29&artist=Rihanna&bucket=audio_summary
2cd4e,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=No+Chill+Feat.+Skrillex+X+Jahlil+Beats&artist=Vic+Mensa&bucket=audio_summary
25mvj,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Inside+Out&artist=Spoon&bucket=audio_summary
25mxa,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=BEGGIN+FOR+THREAD&artist=BANKS&bucket=audio_summary
25pwf,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Cooler+Than+Latch+%28Disclosure+feat.+Sam+Smith+%2F%2F+Mike+Posner%29&artist=The+White+Panda&bucket=audio_summary
2ca8d,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Headcase&artist=Day+Wave&bucket=audio_summary
hs1h,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Modern+Guilt&artist=Beck&bucket=audio_summary
2cc6v,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Throw+Shade&artist=CRUISR&bucket=audio_summary
2cd53,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Come+And+Get+It+%28Embody+Remix%29&artist=John+Newman&bucket=audio_summary
2cdfr,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Fuel+to+the+Fire&artist=Rationale&bucket=audio_summary
2ce0p,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Try+Madness+%28Dej+Loaf+%2F%2F+Muse%29&artist=The+White+Panda&bucket=audio_summary
tqys,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Electric+Feel+%28Aeroplane+Remix%29&artist=MGMT&bucket=audio_summary
gywz,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=I%27m+Good%2C+I%27m+Gone+%28Black+Kids+Remix%29&artist=Lykke+Li&bucket=audio_summary
25mjj,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Insane+%28White+Panda+Vocal+Edit%29&artist=Flume+feat.+Kanye+West&bucket=audio_summary
2cc12,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Walk+With+Me+%28feat.+KU%C4%8CKA%29&artist=Cosmo%27s+Midnight&bucket=audio_summary
2cbsf,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Love+Again&artist=GIBBZmusic&bucket=audio_summary
2ccdn,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Gone&artist=JR+JR&bucket=audio_summary
2cdfq,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Mountain+At+My+Gates&artist=Foals&bucket=audio_summary
2ccj0,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Tennessee&artist=kiiara&bucket=audio_summary
2cb23,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Play+Out&artist=Zola+Blood&bucket=audio_summary
1ffe4,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Everything+To+Me+%28Adventure+Club+Dubstep+Remix%29&artist=LIPS&bucket=audio_summary
2cdyv,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Lost+feat.+M%C3%98+%28Frank+Ocean+cover%29&artist=Major+Lazer&bucket=audio_summary
2cdpk,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Desire+%28Feki+Remix%29&artist=Years+%26+Years&bucket=audio_summary
2b5c3,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Born+To+Die+%28Absence+Remix%29&artist=Lana+Del+Rey&bucket=audio_summary
2a2ak,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=California+Girls&artist=NoMBe&bucket=audio_summary
2cbga,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Loving+You+feat.+Lulu+James+%28Moon+Boots+Remix%29&artist=Lane+8&bucket=audio_summary
2cakr,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Here+%28Lucian+Remix%29&artist=Alessia+Cara&bucket=audio_summary
2cdd0,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Lean+On+To+The+Next+One+%28Jay+Z+%2F%2F+Major+Lazer+%26+DJ+Snake%29&artist=The+White+Panda&bucket=audio_summary
2cc8v,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Waterbed+feat.+Waterbed&artist=The+Chainsmokers&bucket=audio_summary
2cb89,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Boys+%28Golden+Coast+Remix%29&artist=Savannah+Outen&bucket=audio_summary
2c9kx,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Don%27t+You+Wait&artist=Cloves&bucket=audio_summary
2cb05,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Sleepyhead+%28Cerulean+City+Remix%29&artist=Passion+Pit&bucket=audio_summary
2c93r,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Loud+Places+%28John+Talabot+Remix%29&artist=Jamie+XX&bucket=audio_summary
2ca1j,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Know+Me+Better&artist=Mabel&bucket=audio_summary
1rf0g,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Lady+%28Kaytranada+Remix%29&artist=Modjo&bucket=audio_summary
2c7mp,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Undercover+feat.+Matthew+Dear&artist=Lane+8&bucket=audio_summary
2c86x,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=%27Hey+Ya%21%27&artist=Surfer+Blood&bucket=audio_summary
1410v,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=99+style&artist=poka&bucket=audio_summary
1e7j4,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Days&artist=The+Drums&bucket=audio_summary
2c9yf,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=GFE+%28SNBRN+Remix%29&artist=Class+Actress&bucket=audio_summary
2c9pg,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Flame+%28Roosevelt+Remix%29&artist=Sundara+Karma&bucket=audio_summary
2c9xp,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=The+Buzz+feat.+Mataya+%26+Young+Tapz+%28Sweater+Beats+Remix%29&artist=Hermitude&bucket=audio_summary
j29q,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Time+To+Pretend+%28DMoeFunk+Club+Mix%29&artist=MGMT&bucket=audio_summary
gz5r,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Falcon+Jab&artist=Ratatat&bucket=audio_summary
j2hh,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Starstruck+%28Diplo+Remix%29&artist=Santogold&bucket=audio_summary
hb6c,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=1234+%28Feist+Cover%29&artist=Bikini&bucket=audio_summary
hnkf,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Gamma+Ray&artist=Beck&bucket=audio_summary
hd6m,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Paris+Is+Burning+%28Cut+Copy+Remix%29&artist=Ladyhawke&bucket=audio_summary
j4k4,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Bounce+%28High+Powered+Boys+Remix%29&artist=MSTRKRFT&bucket=audio_summary
j34k,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Seventeen+%28Soulwax+Mix%29&artist=Ladytron&bucket=audio_summary
hs2v,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Little+Bit+%28CSS+Remix%29&artist=Lykke+Li&bucket=audio_summary
2c8z5,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Fight+For+You+%28feat.+Ethan+Thompson%29&artist=Fareoh&bucket=audio_summary
2c73k,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Found&artist=cln&bucket=audio_summary
j3d2,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Stand+On+The+Word&artist=Keedz&bucket=audio_summary
2ccaj,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Day+%26+Night+%28Deep+Chills+Remix%29&artist=Sonnengruss+feat.+Matt+Kovac&bucket=audio_summary
dqmq,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Kids&artist=MGMT&bucket=audio_summary
2c9sz,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Know+Yourself+%28Jacques+Greene+intro+edit%29&artist=Drake&bucket=audio_summary
246ew,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=SmokeStacks+%28DIMOND+SAINTS+Rework%29&artist=LAYLA&bucket=audio_summary
2cbmq,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Leave+A+Trace&artist=CHVRCHES&bucket=audio_summary
2ca8z,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Cold+Cold+Man+%28Lost+Kings+Remix%29&artist=Saint+Motel&bucket=audio_summary
2bamw,http://developer.echonest.com/api/v4/song/search?api_key=XSJBT3OPV9ZXRHT8J&format=json&results=1&title=Classic+%28Pat+Lok+Shymix%29&artist=The+Knocks&bucket=audio_summary
