acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mediaid,speechiness,tempo,time_signature,valence
0.078219,0.62914,196.90667,0.762535,0.0,0.156418,-3.721,2c856,0.2437,82.167,4,0.556511
0.406961,0.530457,302.72,0.752496,1.7e-05,0.141643,-5.105,1ffz9,0.393506,162.367,4,0.31563
0.237832,0.576709,256.80889,0.730877,0.884203,0.287737,-7.028,2bwhp,0.031274,138.251,4,0.312406
0.258555,0.699476,213.91306,0.856507,0.105082,0.07108,-6.747,25nbf,0.063321,91.99,4,0.17071
0.096685,0.755802,234.14635,0.801569,0.000188,0.084482,-7.428,2cbrq,0.069146,124.941,4,0.4437
0.07142,0.763239,229.64,0.806875,0.279875,0.348078,-3.714,cr02,0.034954,103.038,3,0.544261
0.007705,0.533534,227.78667,0.792198,0.080234,0.273532,-3.831,2cfm9,0.064074,127.982,4,0.530946
0.816629,0.313964,215.01342,0.184938,0.007783,0.256991,-19.863,25mg3,0.031825,145.969,3,0.22013
7e-06,0.561953,225.09333,0.769414,6e-06,0.068008,-3.98,2ceh0,0.032256,105.107,4,0.357195
0.000129,0.649435,236.53288,0.918216,0.627938,0.326988,-4.564,15sj5,0.033619,124.044,4,0.682482
0.75733,0.541415,208.22939,0.406909,9.4e-05,0.10318,-8.801,2c48m,0.06916,80.572,4,0.300338
0.063812,0.758179,367.44862,0.829808,0.444987,0.04609,-6.315,28adb,0.054212,121.981,4,0.552656
0.044971,0.480757,221.15664,0.7975,8.2e-05,0.300889,-3.682,2cfw3,0.060113,127.98,4,0.315735
0.001417,0.497121,233.01088,0.626992,0.0,0.61854,-6.141,2bmb6,0.031945,79.93,4,0.209075
0.00753,0.709404,144.67732,0.593564,0.650677,0.132661,-4.81,2583z,0.031005,119.999,4,0.176573
0.035765,0.383835,181.10667,0.853472,0.0,0.510459,-5.412,25pza,0.275413,136.813,4,0.732428
0.400292,0.716353,231.04127,0.681075,0.0,0.108386,-5.144,2c4j9,0.072985,109.967,4,0.1655
0.092196,0.561665,290.48118,0.337208,0.14279,0.151652,-20.786,2ce4k,0.029275,91.168,4,0.793435
0.004091,0.58877,191.94213,0.891537,0.0,0.247021,-2.336,2cbsb,0.049834,125.059,4,0.468416
6.9e-05,0.286019,215.82195,0.703531,0.034,0.192347,-5.12,2caag,0.037408,145.843,4,0.184903
0.015045,0.875261,308.0,0.927727,0.056343,0.123231,-6.71,2bfw2,0.042606,123.016,4,0.846665
0.446831,0.622295,301.96,0.620096,0.206472,0.075207,-4.711,25mvj,0.029364,175.891,4,0.518311
0.00081,0.599032,251.86667,0.715438,0.081443,0.263141,-6.171,25mxa,0.028062,108.0,4,0.371687
0.337435,0.514928,271.76943,0.815877,0.836875,0.303788,-8.513,2ca8d,0.026864,139.512,4,0.513974
0.047051,0.734358,196.48,0.493447,0.598768,0.106689,-6.965,hs1h,0.031973,150.255,4,0.673503
0.013833,0.558746,172.98667,0.783956,0.0,0.06192,-7.051,2cc6v,0.042788,160.017,4,0.876055
0.412651,0.696812,211.42857,0.72698,4.3e-05,0.105455,-4.067,2cdfr,0.086149,126.068,4,0.185257
0.000138,0.639214,203.61288,0.827669,0.019568,0.080541,-4.464,gywz,0.034353,129.985,4,0.819
0.054028,0.619685,227.50667,0.892332,0.000687,0.206786,-3.664,2ccdn,0.053091,129.96,4,0.401785
0.002528,0.495829,244.29333,0.929635,0.08338,0.219787,-5.336,2cdfq,0.0471,104.039,4,0.619775
0.172335,0.708176,216.92308,0.533149,0.040373,0.11179,-7.148,2a2ak,0.10367,78.039,4,0.531463
0.090455,0.64812,221.72989,0.607603,8.7e-05,0.171023,-7.745,2cb89,0.086959,104.944,4,0.414224
0.409449,0.589377,269.08145,0.726448,0.122388,0.143663,-7.71,1e7j4,0.029107,84.981,4,0.676091
0.00574,0.622599,205.24,0.705558,0.150051,0.884323,-6.278,2c9xp,0.037438,145.036,4,0.284499
0.023261,0.653211,235.02621,0.939809,0.142393,0.321144,-4.95,gz5r,0.107509,110.218,4,0.390937
0.105385,0.606654,177.0,0.909867,0.233003,0.348135,-4.221,hnkf,0.039162,168.12,4,0.719556
0.061287,0.660569,324.4,0.936316,0.642905,0.064722,-4.375,hd6m,0.042801,122.981,4,0.776231
