loved,posted_count,loved_count,artist_index_mod,speechiness,loudness,artist,title,sitename,mediaid,site_index_mod,tagsum_tree,tagsum_tree_raw
TRUE,0.085201794,0.110710431,0.5,0.366352,0.499076532,drake,Over,surviving the golden age,105xk,0.5,0.4,4
TRUE,0.00896861,0.037298307,0,0.029625,0.632835046,angusjuliastone,Silver Coin,Streetkiss music,106x7,1,0.4,4
TRUE,0.062780269,0.054407623,0,0.033954,0.626976798,jonsi,Tornado,The Wounded Jukebox,1077k,0,0.1,1
TRUE,0.139013453,0.634597668,1,0.040682,0.833718112,twodoorcinemaclub,What You Know,Simply 7,107fw,0,0.6,6
TRUE,0.035874439,0.004316812,0,0.034774,0.294009004,dawes,When My Time Comes,The Ruckus,10hkx,0,0.4,4
TRUE,0.417040359,0.585928246,0,0.068147,0.771268614,theblackkeys,Tighten Up,Indie Shuffle,10k0q,0,0.5,5
TRUE,0,0.008870522,0,0.161527,0.675487706,sublime,Scarlet Begonias,Hear No Evil,10rst,0,0.5,5
TRUE,0.385650224,0.585164907,1,0.037011,0.776030244,twodoorcinemaclub,Something Good Can Work (The Twelves Remix),All Things Go,10spe,0.666666667,0.6,6
TRUE,0.062780269,0.038956595,0,0.34078,0.860325522,trampledbyturtles,Wait So Long,SUCKA PANTS,110ex,0,0.6,6
TRUE,0.130044843,0.432760391,0,0.028789,0.748153065,thetempertrap,Sweet Disposition (RAC Mix),J(am) of the Day,11akb,0,0.4,4
TRUE,0.02690583,0.141954673,0,0.378394,0.677103775,bob,Not Lost feat. T.I.,Mixtape Maestro,11egv,0,0.2,2
TRUE,0.00896861,0.037693138,1,0.247258,0.5165647,gangstarr,Above The Clouds,A Grumpy Old Man With A Beard,11f9p,0,0.5,5
TRUE,0,0.031586428,0,0.070688,0.547760591,lilyallen,Everybody's Changing,Town Full of Losers,11nf2,0,0.5,5
TRUE,0.031390135,0.240951804,1,0.050254,0.800271269,twodoorcinemaclub,"Eat That Up, It's Good For You",Indie Shuffle,11sem,0.47826087,0.8,8
TRUE,0.02690583,0.059619384,0,0.190141,0.724633499,daviddallas,Til Tomorrow,JayeL Audio Music,11whf,0,0.3,3
TRUE,0.004484305,0.017635756,1,0.172805,0.807803301,outkast,Spottieottiedopaliscious,One A Day,120m5,0.75,0.4,4
TRUE,0,0.014161249,0,0.156701,0.774241025,atrak,O Let's Overdo It,First up!,12138,0,0.4,4
TRUE,0.004484305,0.058961333,1,0.100301,0.80200277,shwayze,Buzzin' (DJ Skeet Skeet & Cory Nitta Remix),Discobelle,121jz,1,0.2,2
TRUE,0.013452915,0.06504172,0,0.088265,0.79071915,ceelogreen,What Part Of Forever,the burning ear,12ewk,0,0.4,4
TRUE,0.013452915,0.001395067,1,0.033679,0.649082304,keegandewitt,Hearts Beat Loud,guerolitomusic,13smw,0.5,0.3,3
TRUE,0,0.018951857,0,0.042378,0.787054138,cassius, I 3 U So,Why FuKK When You Can Dance,143rp,0,0.5,5
TRUE,0.179372197,0.361954147,0.4,0.033619,0.81752857,theknocks,Dancing With The Dj,SFCritic,15sj5,0.5,0.3,3
FALSE,0.085201794,0.167908189,0.4,0.30035,0.732309823,theknocks,Dancing With The DJ (Chiddy Bang Remix),Berkeley Place,1696z,0.5,0.1,1
TRUE,0.049327354,0.206864784,0,0.031718,0.371464851,cagetheelephant,Shake Me Down,Richmond Playlist,16hr5,0,0.4,4
