artist,loved_count,mediaid,posted_count,sitename,time,title,loved
Swim Good x Merival,1332,2cgp1,6,acid stag,199,Since You Asked (Star Slinger Edit),False
Justin Jay,482,2ch75,11,Never Radio,374,Storm feat. Chris Lorenzo,False
Azealia Banks,15391,1z53b,26,Inyourspeakers Media,245,Atm Jam feat. Pharrell (Kaytranada Edition),False
octobersveryown,1338,2cgyf,4,Different Kitchen,191,Drake ~ Right Hand,False
LÈON,8893,2c5rg,14,Skeletory,196,Tired of Talking,False
Remy Boyz,7192,2b5hn,17,The Fader,294,My Way RMX feat. Drake,False
RAC,1486,2cjb0,4,The Songs We Love,170,Falling Hard (feat. Madi Diaz),False
Angus & Julia Stone,432,2cjaz,1,Indie Shuffle,310,From The Stalls,False
Giraffage,601,2cgwy,5,blahblahblahscience,221,Hello / Be With You (Slow Magic Remix),False
Kygo,2032,2cq6q,1,Dancing Astronaut,183,Piano Jam,False
Felix Jaehn,4138,2cp2j,10,Waxhole,321,Book of Love (feat. Polina) (Extended Mix),False
Jungle,3010,2cgpk,11,Harder Blogger Faster,266,Time (Darius Remix),False
Kygo,6910,2ckaj,1,Yaqui,237,Nothing Left (feat. Will Heard),False
Kranium feat. Ty Dolla $ign,6026,2cj1e,3,Never Radio,205,Nobody Has To Know (Major Lazer & KickRaux Remix),False
Tom Misch,4735,2cjjk,19,HUNGRY DRUMS,343,In The Midst Of It All (feat. Sam Wills),False
PARTYNEXTDOOR x Travi$ Scott,733,2cgcp,3,House of Lords,196,No Feelings,False
Small Black,2441,2cje5,22,the bay bridged,301,Boys Life,False
Bag Raiders,3278,2cgcj,4,Music For Ants,371,Wonderland,False
kiiara,15813,2bxjv,25,NME,226,Gold,False
Ferreck Dawn,536,2cdjt,5,Indie Shuffle,178,Superman (Radio Edit),False
Roy Wood$,2948,2chfd,9,Never Radio,252,Drama Feat. Drake,False
Hayden James,13464,2cgs0,15,Scenewave,342,Something About You (ODESZA Remix),False
Bag Raiders,6806,2by3r,20,EUPHORIA. Magazine,346,Vapour Trails,False
Krewella,3282,2cfm9,3,POP ON AND ON,222,Somewhere To Run (Lost Kings Remix),False
nvdes,3387,2cen2,15,The Burning Ear,241,unforgettable,False
Lianne La Havas,3792,2cerg,10,Caveman Sound,230,What You Don't Do (Tom Misch Remix),False
Kwabs,1716,2cdvb,20,The House of Coxhead,180,Look Over Your Shoulder (Produced by SOHN),False
Drake,1290,2cgdr,2,Never Radio,470,Hotline Bling (Prod by Nineteen85),False
