mediaid,tags
105xk,"drake,hiphop,rap,youngmoney,2010s,inspirational,canadian"
106x7,"folk,blues,memories,beautiful,romantic,australian,acoustic,rock,herzanohr,dreamy"
1077k,"brilliantgibberish,epic,kick-ass,soundscapes,sigurros"
107a4,"indie,indierock,femalevocalist,alternative,rock,alternativerock"
107fw,"indie,british,indiepop,electronic,indierock,2010s,irish,alternativeindie,newbritishinvasion,bestof2010s"
107nt,"rap,hiphop,dirtysouth,southernrap"
107z7,
1088r,"mashup,electronic"
108mg,"hiphop,rap,chicago,alternativerap,undergroundhiphop"
10dfz,"mashup,2010s,hiphop"
10e1a,"mashup,electronic"
10g9w,"mashup,2010s,00s,raphiphop"
10hkx,"alt-country,indierock,americana,vocalharmony,judderybass,motheramericannight,catchy,countryrock,alternative,sweetharmony"
10k0q,"bluesrock,rock,garagerock,indierock,blues,indie,theblackkeys,2010s,bestof2010s,alternative"
10npy,"mash-up,dirtylaundry,notoriousbig,djprophet,catchyashell,thexx,topquality,ionbradio,hiphop,speedfreaks"
10nwd,"hiphop,rap,gangstarap"
10rst,"ska,reggae,sublime,cover,dub,punk,skapunk,rock,chill,drugs"
10s0d,"mashup,djprophet,favs,swinginsummersingles,gh"
10s0e,"rap,hiphop,thexx,thenotoriousbig,diddy,badboyrecords,indiehiphop,mase,mashup,dirty"
10s43,
10s72,"hiphop,indie,rap,mashup,mash-up,swinginsummersingles,djprophet,speedfreaks,dirtylaundry"
10spe,"electronic,indie,remix,dance,indiedance,kitsune,indieelectronic,electronica,electronicindie,2010s"
10tpe,
110ex,"folk,bluegrass,thrashgrass,indiepop,alt-country,indie,country,minnesota,energetic,americana"
112cr,"hiphop,rap,electronic"
112sm,
11626,mash-up
11akb,"indieelectronic,indieelectro,breakfast,hope,summer,indiepop,ionbradio,topquality,indie,fav"
11egv,"hiphop,rap,dirtysouth"
11f4z,"dirtysouth,hiphop,rap,southernrap,houston,ugk"
11f9p,"hiphop,rap,gangstarr,eastcoastrap,djpremier,undergroundhiphop,thegoodstuff,newyork,superb,inspectahdeck"
11fnw,"hiphop,rap,chicago,undergroundhiphop"
11gk0,"hiphop,killacam,rap,diplomats"
11mhk,"electronic,indie,psychedelic,alternative,indiepop"
11mk1,"hiphop,chill,alternativehiphop,rap"
11nf2,"cover,femalevocalist,pop,acoustic,british,sweet,britpop,audioeric-fm-cover,indierock"
11ngk,"psychedelic,psychedelicrock,classicrock,rock"
11nnh,favouriteremixes
11p39,"electronic,house,deadmau5,electrohouse,revientapistas,2010s,minimal,ca,progressivehouse,electronicmusic"
11px3,"mashup,electronic"
11sem,"indie,indietronica,electronic,summer,2010s,agoodday,dance,british,indiepop,nightdriving"
