artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Offshore,1436990245,4,2ca4w,4,Oh Fancy!,164,'Off Peak',electonric
Sable.,1436988120,90,2c8f2,9,Caveman Sound,249,One And Only,electonric
Daniel Dubb,1436986872,3,2cb6w,1,THUMP,395,Always (Original Mix) (from the album Pieces Of The Past),electonric
Louis La Roche,1436989345,141,2b7kz,8,The French Shuffle,216,Just Like You,electonric
Ultra Naté,1436989342,3,2cb79,1,BUZZINUNLIMITED,349,Free (Pete Graham & Manta Remix),electonric
Jamie XX,1436985426,851,2c93r,8,Silver Soundz,252,Loud Places (John Talabot Remix),electonric
filous,1436986864,259,2caey,2,CHROMEMUSIC,259,Better Off feat. Josh Roa & Bishøp,electonric
Lauv,1436984471,17,2cb39,2,BUZZINUNLIMITED,232,Reforget,electonric
Alan Fitzpatrick,1436985421,3,2cb69,1,Dancing Astronaut,398,Love Siren (Drumcode),electonric
Mackintosh Braun,1436994140,1,2cb9c,1,Write.Click.Cook.Listen ,180,Give Me Fire (feat./ Carah Faye Charnow),electonric
Toro y Moi,1436996152,1637,2c7nh,25,Different Kitchen,170,Pitch Black feat. Rome Fortune,electonric
Death in the Afternoon,1436991878,11,2ca0j,3,UNCANNY,230,'82,electonric
Fort Romeau,1436994089,87,2bt2a,9,ERRANT,405,Insides (Roman Flugel Remix),electonric
Pr0files,1436992521,27,2cam1,4,The Burning Ear,191,I Know You Still Care,electonric
Sian,1436994079,0,2cb96,1,Mixmag,403,Tetrahedran,electonric
Dusky,1436990280,14,2cakx,4,MusicDealers,414,Parakeet Feet,electonric
Jeftuz,1436995296,0,2cb9f,1,House of Lords,108,One Of Them Days,electonric
AIR BAG ONE,1436990266,35,2c88z,4,poule d'or,222,¥ Killing Stars ¥,electonric
Throttle,1436992511,296,2c97t,3,CLICK AND LISTEN IT,282,Together (feat. David Spekter),electonric
Daniel Dubb,1436986875,2,2cb6x,1,THUMP,201,VIVa Music // Don't Flex (Original Mix),electonric
Stereo Total,1436982650,0,2cb35,1,The Audiologist,155,Heroes (2015 Remaster),electonric
Iris Lune,1436982729,20,2bsj7,5,Wonky Sensitive,328,Bring Me the Moon (Single),electonric
Gammer,1436982491,3,2cb28,2,Pigeons and Planes,261,Gammer - Nostalgia (Rustie Edit),electonric
Tim Green,1436982551,2,2cb2q,1,Mixmag,529,Eclipse,electonric
Cloves,1436982481,90,2c9kx,15,UNCANNY,244,Don't You Wait,electonric
The Beach,1436981939,2,2cb1d,1,Kick Kick Snare,308,From Above (Boehm Remix),electonric
Miami Horror,1436985325,1058,2bstz,5,Abduction Radiation,222,Love Like Mine (Bee's Knees Remix),electonric
elle le fantôme,1436981856,0,2cb17,1,Tiny Mix Tapes,117,sore,electonric
