artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Drug Train,1436981507,0,2cb00,1,A Feast of Beast,268,No One Cares En 2015,experimental
elle le fantôme,1436981856,0,2cb17,1,Tiny Mix Tapes,117,sore,experimental
Ensemble Economique,1436967640,5,2caz8,1,Lend Me Your Ears,491,"From The Train Window, Red Flowers On The Mountain",experimental
The Cairo Gang,1436981446,22,2bhzr,7,3hive,250,Ice Fishing,experimental
LEGS,1436962501,101,29jkd,7,Indie Shuffle,365,Top Of The World,experimental
Chelsea Wolfe,1436961008,376,2c7ew,16,The Revue,336,After the Fall,experimental
Song Sparrow Research,1436961001,15,2cax1,1,The Revue,265,…Even Today,experimental
M.E.S.H.,1436957782,16,2bxy2,7,Pilerats,316,Epithet (PAN 66),experimental
I'lls,1436960993,739,2c1kb,19,I Oh You,246,Keep,experimental
Mac Demarco,1436991251,166,2cagm,25,KEXP Blog,167,I've Been Waiting For Her,experimental
HJMS,1436996163,0,2cb9w,1,Different Kitchen,293,조용한 폭풍 (당신의 여자 친구와 소주를 마시고 섹스를) !moist blanka!,experimental
Samantha Glass,1436993435,0,2cb8x,1,Burl Veneer's Music Tumblr,251,The Carpet Unravels,experimental
GNAW THEIR TONGUES,1436989349,0,2cb7b,1,Decibel,350,Through Flesh,experimental
Jenny Hval,1436982815,1,2cb4d,1,Another Dying Art Form,293,Heaven,experimental
Jenny Hval,1436982831,136,2amm8,19,Another Dying Art Form,227,Sabbath,experimental
Iris Lune,1436982729,20,2bsj7,5,Wonky Sensitive,328,Bring Me the Moon (Single),experimental
Jenny Hval,1436982826,63,29y33,26,Another Dying Art Form,277,That Battle Is Over,experimental
Chicaloyoh,1436982709,0,2cb3e,1,Niche Music,539,THE SOUND OF HIS TENDERNESS,experimental
Romare,1436982633,107,1tfz6,12,ERRANT,376,Taste of Honey (From the City),experimental
KAYTRANADA,1436965234,6330,293cn,42,The 405,243,Drive Me Crazy (feat. Vic Mensa),experimental
Cheerleader,1436891032,105,293pd,8,EUPHORIA. Magazine,209,The Sunshine Of Your Youth,experimental
LA PRIEST,1436891106,452,299a3,28,REDEFINE magazine,271,Oino,experimental
RAMZI,1436889396,8,2c5dx,3,Tiny Mix Tapes,176,princess of cups,experimental
Ô Paon,1436893368,1,2cacj,1,Niche Music,398,Manches Courtes,experimental
Stardeath and White Dwarfs,1436883699,2,2ca7x,1,newdust,157,The March,experimental
FUCK THE FACTS,1436873410,1,2c859,2,SkullNBones,95,The Path Of Most Resistance,experimental
Zeno van den Broek,1436884576,3,2ca8b,1,Tiny Mix Tapes,346,A Diverging Sun,experimental
Pleq and Giulio Aldinucci,1436868011,1,2ca39,1,Sonofmarketing,612,The Prelude To (PREVIEW),experimental
BORDO,1436869831,8,2ca41,1,MCL: Musique au Claire de Lune,289,Lost Myself,experimental
Daphni,1436945353,271,2c6r5,26,SERIALGK,339,Vikram,experimental
Arca,1436957774,67,2bm6a,21,Pilerats,258,Vanity,experimental
ON AN ON,1436919288,11,2canh,1,stereogum,179,Behind The Gun,experimental
Kinder,1436933263,0,2caqc,1,Happy,157,Fall Back Down,experimental
Bellows,1436912078,0,2cakz,1,The Deli Magazine,123,Crayon Crush,experimental
Majid Jordan,1436913309,3438,2c8tv,15,PASSIØN PARTY,249,My Love feat. Drake,experimental
FROG EYES,1436894164,12,2c36p,12,The Mad Mackerel,277,Joe With The Jam,experimental
Rival Consoles,1436906125,27,290bs,3,Indie UK,288,Recovery,experimental
LA Priest,1436891103,211,2bx2w,11,REDEFINE magazine,223,Lady's In Trouble With The Law,experimental
LA PRIEST,1436891099,532,2b288,28,REDEFINE magazine,511,Party Zute / Learning To Love,experimental
Stardeath And White Dwarfs,1436883695,19,100k8,2,newdust,160,Keep Score,experimental
Young Fathers,1436811376,5,2c9rf,1,Sodwee,198,Nest,experimental
Time Crisis,1436811384,2,2c9n9,2,Consequence of Sound,612,Top 5 Singles on iTunes Now (7/12/2015),experimental
Norde,1436806162,17,2c9pd,1,surviving the golden age,279,Every Single Night (Dirty Soul),experimental
YOUNG FATHERS,1436811331,612,2a263,33,Sodwee,251,Shame,experimental
The Chap,1436804047,3,2c79d,2,Niche Music,126,Jammer,experimental
CocoRosie,1436801289,280,2c8qa,9,PASSIØN PARTY,214,heartache city (live),experimental
Venetian Snares,1436801295,18,2c7de,8,Tiny Mix Tapes,394,Your Face When I Finally,experimental
Alex's Hand,1436792531,1,2c9j3,1,Faeton Music Blog,412,Mars Travolta,experimental
Kælan Mikla,1436794947,3,2c9k1,1,Rjominn,241,Kalt,experimental
Good Weather For An Airstrike,1436859896,3,2ca1z,1,Happy Days Are Here Again,562,EIO (With Inachus),experimental
A.CHAL,1436863873,182,2c082,7,Pilerats,214,ROUND WHIPPIN,experimental
Möthersky,1436856142,4,2ca1g,1,Gold Flake Paint,418,Let Go,experimental
James Blackshaw,1436856149,2,2ca1h,1,beehype,352,Towa No Yume,experimental
100%,1436844523,0,2ca0k,1,Giant Scary Things,108,Exit,experimental
FRAME,1436854482,5,2ca1d,1,Niche Music,240,In Vain,experimental
Love-Songs,1436823192,2,2c9x4,1,poule d'or,327,Selbstauflöser,experimental
Active Child,1436838558,21,2b78x,2,ERRANT,150,Johnny Belinda (Matthew Dekay Remix),experimental
Dreadnought,1436812644,3,2c9sd,1,Heavy Blog Is Heavy,691,Bridging Realms,experimental
Chelsea Wolfe,1436810557,57,2b1sf,15,This Is That Song,347,Iron Moon,experimental
Circuit des Yeux,1436806152,0,2c9pb,1,Tiny Mix Tapes,254,Nova 88 (Demo),experimental
The Greg Foat Group,1436662163,5,2c96f,1,A Grumpy Old Man With A Beard,60,The Dancers Waltz (clip),experimental
Django Django,1436670857,3037,28sed,77,Tuned Up,289,First Light,experimental
The Greg Foat Group,1436662166,2,2c96g,1,A Grumpy Old Man With A Beard,60,The Eye of Horus (clip),experimental
The Greg Foat Group,1436662170,2,2c96h,1,A Grumpy Old Man With A Beard,60,Door into Summer (clip),experimental
Amen Tma,1436650964,2,2c95y,1,Fluid Radio,309,As The Nyght Falls (radio edit),experimental
LILIES ON MARS,1436646112,11,2c3ra,5,Wonky Sensitive,261,Dancing Star,experimental
Dag Rosenqvist,1436650949,4,2c5re,2,Fluid Radio,702,The Forest Diaries (album preview),experimental
Mecca Normal,1436629330,6,1mw5j,2,Magnet Magazine,182,One More Safe,experimental
Telepathe,1436632560,22,2535x,2,Austin Town Hall,298,Drown Around Me,experimental
Beach House,1436785225,972,yyae,36,Miojo Indie,235,Norway,experimental
strië,1436785238,1,2c9gd,1,Headphone Commute,280,Untitled 1956 ▰ Struktura album,experimental
Steve Cobby,1436767133,6,2c9dn,1,ACIDTED,535,Teleseme,experimental
United Bible Studies,1436779269,1,2c9f0,1,das klienicum,204,Teampall Mholuaidh,experimental
AMULETS,1436739670,1,2c9bf,1,Faeton Music Blog,566,59 FIELDS OF RUIN I,experimental
Steve Cobby,1436767275,8,2c9dp,1,ACIDTED,492,Teleseme remix,experimental
Flamingosis,1436714498,292,2c3c4,2,The Smoking Section,163,Finesse (Hey Baby),experimental
Rangers,1436718522,1,2c99r,1,Sound Injections,180,Out To Pasture (Shepard's Pie) DEMO,experimental
den,1436674869,2,2c96z,1,Soundly Sounds,164,Just Hold,experimental
WHITE DOG,1436700067,0,2c983,1,12XU,71,GUTLESS WONDER,experimental
Tora,1436662147,314,2btze,4,Poetry in an Empty Coke Can,277,Jaigantic (Daniele Di Martino Remix),experimental
Not Waving,1436541679,1,2c8pd,1,A Feast of Beast,424,Voices I (excerpts),experimental
Ricardo Donoso,1436541688,20,2c5rn,4,Tiny Mix Tapes,342,Dance of Attunement,experimental
Normil Hawaiians,1436537792,1,2c8nb,1,The Monitors,349,'Sianne Don't Work In A Factory',experimental
Clap! Clap!,1436537771,17,2c5sq,3,The Monitors,181,Camo (Black Acre),experimental
Elektro Guzzi,1436534898,4,2c8kx,1,Groove Magazine,512,Atlas (KiNK Mix),experimental
Robert Robert,1436493613,7,2c8e8,1,El Tino,227,Lonely Road feat. ZéFIRE,experimental
Indian Wells,1436517755,11,2c8gw,1,The Ransom Note ,332,Changes (Twos Remix),experimental
The Blessings,1436472626,26,2c8a6,1,Different Kitchen,613,"Turn Blue-The Black Keys Remix feat. Grand Surgeon,MetricMan,St.Laz,RapP,Satin,V'aniss, Ryan Morrison",experimental
Aufgang,1436486457,13,2c8dg,1,acid stag,307,Summer (Album Version),experimental
Weird.,1436595732,5,2c90k,1,Niche Music,275,Summerbliss,experimental
Sons Of Kemet,1436606893,9,2c915,1,Sonofmarketing,523,In Memory Of Samir Awad,experimental
Animal Collective,1436571397,9,2c8z8,1,Molars,272,Baby Day,experimental
Dead Times,1436615765,50,2c5rm,4,Pause Musicale,290,Lightness,experimental
Golden,1436556561,39,2c34f,4,The Smoking Section,224,Workin' On Myself,experimental
Paul Chin,1436561863,40,2bt2j,2,The Ripe,297,Deep Jupiter (Shigeto Remix),experimental
Boca45,1436550285,8,2c6e0,2,monkeyboxing,206,BOCAS BBQ BANGERS MIX TEASER,experimental
Suicide,1436558202,30,12ma2,2,27 Leggies,131,Johnny,experimental
Lazlo Hollyfeld,1436542550,3,2c8ps,1,buffaBLOG,372,U.S. Deathsquads In Colombia,experimental
Godspeed You! Black Emperor,1436546703,162,29q4r,48,No Country For New Nashville,471,Peasantry or 'Light! Inside of Light! (excerpt),experimental
Tolerance,1436533629,5,18p27,2,Avant-Avant,123,Sacrifice,experimental
Kiasmos,1436428811,123,2bjvj,5,Dots & Dashes,333,Swept,experimental
CRAY,1436436849,41,2c72c,3,Pilerats,155,Up In Smoke,experimental
The Rebel,1436393281,13,2bjc4,2,monkeyboxing,191,Soul Power,experimental
ON AN ON,1436425241,1522,2bnef,9,Planeta Pop,227,It's Not Over (The Twelves Remix),experimental
Prints,1436390901,4,2c7q6,1,The Burning Ear,215,im a wolf,experimental
Bucketheadland,1436392407,1,2c7qp,1,Burl Veneer's Music Tumblr,809,Carnival Cutouts,experimental
Helado Negro,1436409726,101,25asg,12,The Deli Magazine,339,I Krill You,experimental
Daphni,1436376156,482,2bs0c,16,Apes on Tape,313,Usha,experimental
Braids,1436376242,2105,29djm,44,REDEFINE magazine,294,Miniskirt,experimental
Mario Diaz de Leon,1436470977,2,2c7ta,2,nitestylez,813,Luciform,experimental
Karen Gwyer,1436471103,8,2bx75,3,Ad Hoc,570,Bouloman Ep (us008),experimental
Pekka Airaksinen,1436458884,1,2c84c,1,Niche Music,208,E (Other Power LP 2012),experimental
ON AN ON,1436463762,231,2c3k9,8,The Wild Honey Pie,274,Icon Love,experimental
Rolo Tomassi,1436458867,5,2a593,3,Inyourspeakers Media,233,Stage Knives,experimental
Amnesia Scanner,1436461060,3,2bv0e,3,The Fader,320,AS Baltic Rim / Confission,experimental
James Chance & The Contortions,1436450421,19,18ajt,2,Avant-Avant,264,Contort Yourself,experimental
The Chap,1436447780,8,2c80p,1,The Ransom Note ,125,That's Wrong,experimental
Flamingods,1436443715,5,2c7zc,1,The Line Of Best Fit,260,Quesso - (Esmink Remix),experimental
BNJMN,1436447694,5,2bznb,2,Resident Advisor,304,Rattled,experimental
Tora,1436394165,76,2bw5k,8,ilictronix,210,High Enough,experimental
Julie Slick,1436360253,4,2c7bf,1,Burl Veneer's Music Tumblr,317,the drift,experimental
Peza,1436360294,5,2c7bn,1,The Ransom Note ,351,Buddah's Watching,experimental
Shining Path,1436345380,8,2c78d,1,Black Plastic,298,Chasing Paper,experimental
Public Service Broadcasting,1436350056,332,1pqy1,21,DrunkenWerewolf,227,Everest,experimental
Black Polygons,1436334580,5,2c76n,1,Felinno,177,Alcools,experimental
Collarbones,1436328441,4682,2c53y,11,Caveman Sound,334,Turning (Flume Remix),experimental
Blank Realm,1436813360,43,2c3sj,16,I heard a whisper,251,River Of Longing,experimental
Active Child,1436319309,3536,1vdrc,51,music is art,273,Evening Ceremony,experimental
snacks,1436321061,6,2c748,1,The Ripe,230,between you & me,experimental
Karl Verkade,1436378000,1,2c7hb,1,Niche Music,388,But Not to Last,experimental
Mary Lattimore,1436375241,2,2c7g3,1,The Deli Magazine,828,For PTD,experimental
Moniker,1436368209,2,2c7dw,1,Don't Need No Melody,457,Be,experimental
Mac DeMarco,1436368221,1629,1nrp8,64,Soundfriend,191,My Kind of Woman,experimental
the passenger,1436368146,2,2c7ds,1,weird canada,254,6,experimental
Gary Wilson,1436388568,3,2c7p2,1,Noisey,143,I Really Dig Your Smile,experimental
The Cairo Gang,1436367382,30,2bsyg,6,raven sings the blues,124,Be What You Are,experimental
the passenger,1436368159,2,2c7dt,1,weird canada,161,jxpg,experimental
Grynpyret,1436364035,48,2bzh8,2,Disco Filter,350,Boba Beach,experimental
Barbatuques,1436366137,21,2c7d6,1,Waxhole,253,Baiana (CloZee Remix),experimental
JAPANESE WALLPAPER,1436340536,4599,2abgf,21,art felicis,252,Forces (feat. Airling),experimental
Hauschka,1436296880,6,2c6y6,1,Consequence of Sound,496,Stromness (Eluvium Remix),experimental
Joe Stone,1436291788,5,2c6vs,1,BUZZINUNLIMITED,254,The Party (Endor Remix),experimental
glocque,1436290101,3,2c6tz,1,The Up-Turn,96,buy this,experimental
Labasheeda,1436288290,1,2c6t1,1,Deadly Music!,212,Wasteland,experimental
Young Fathers,1436286933,404,28338,31,The 405,187,'Soon Come Soon',experimental
