artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Kool and the Gang,1436731213,13,2c9at,1,Funky16Corners,183,Funky Stuff,funk
Thundercat,1436816959,4213,2by09,60,Et Musique Pour Tous,187,Them Changes,funk
Peking Duk,1436576431,135,2c8ed,4,Idolator,187,Say My Name (feat. Benjamin Joseph),funk
Kool & The Gang,1436725722,6,2c9a8,1,MOARRR,226,Jimi Needles - Jungle Boogie,funk
ISAAC TICHAUER,1436507825,18,2c8fh,1,ERRANT,477,Yesterday,funk
Donny Hathaway,1436464182,71,21rbz,2,Funky16Corners,414,The Ghetto,funk
Lonely Boy,1436485791,229,2bh6q,3,Vocododo,296,Future Regret,funk
N8NOFACE,1436444501,2,2c7zf,1,GRANDGOOD,100,STANDING HERE NAKED DEMO,funk
James Chance & The Contortions,1436450421,19,18ajt,2,Avant-Avant,264,Contort Yourself,funk
Flight Facilities,1436966120,31,2caw5,2,Last Gas Station,248,Heart Attack (Julian Hamilton Rework),funk
Natural Self,1436993363,1,2cb8v,1,Burl Veneer's Music Tumblr,429,O Superman,funk
Dorothy Morrison,1436898159,6,2caeq,1,Funky16Corners,169,Higher and Higher,funk
Omar S,1436925367,5,2capf,1,ERRANT,470,Day,funk
The Souljazz Orchestra,1436899884,1,2caew,1,Burl Veneer's Music Tumblr,198,Shock And Awe,funk
Dorothy Morrison,1436898152,3,2caep,1,Funky16Corners,189,Ain't That Peculiar,funk
Bill Withers,1436865284,298,2brv4,5,Tonspion,311,"Lonely Town, Lonely Street (Jack Tennis Edit)",funk
Slow Knights,1436869886,14,2ca4a,1,MCL: Musique au Claire de Lune,310,Erotic City Nights (Dino Soccio Remix),funk
Thundercat,1436832455,8,2c9yk,1,SoulBounce,203,Lone Wolf And Cub (brandUn DeShay REMIX),funk
Mighty Mouse,1436863903,43,2c6dt,4,SERIALGK,362,Luna,funk
The Souljazz Orchestra,1436532563,59,198xk,2,The Revue,397,Mista President,funk
Jo Bisso,1436279825,8,2c6pd,1,Ambiance Jeune,503,Odwa,funk
