artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
BOBBY BROWSER,1436965253,5,2caye,1,Tiny Mix Tapes,313,MANCHESTER (SILK075),house
Casino Times,1436967594,5,2caz2,1,Stamp The Wax,426,Reality Hits,house
Hubie Davison,1436963741,3,2caxq,1,nialler9,395,Khayyam Grey,house
Flight Facilities,1436966120,31,2caw5,2,Last Gas Station,248,Heart Attack (Julian Hamilton Rework),house
Tobtok,1436960563,29,1gfsn,2,Punch Magazine,230,Easy To Love (PB&J Funk Compilation),house
Tobtok,1436960547,634,22497,11,Punch Magazine,205,Savanna,house
Tobtok,1436960550,46,2c9qj,4,Punch Magazine,276,Shelter feat. Alex Mills,house
M.E.S.H.,1436957782,16,2bxy2,7,Pilerats,316,Epithet (PAN 66),house
Carisma,1436981333,2,2cazh,1,XLR8R,404,Dueños De Este Instante,house
Dusky,1436990280,14,2cakx,4,MusicDealers,414,Parakeet Feet,house
Fort Romeau,1436994089,87,2bt2a,9,ERRANT,405,Insides (Roman Flugel Remix),house
Daniel Dubb,1436986875,2,2cb6x,1,THUMP,201,VIVa Music // Don't Flex (Original Mix),house
Louis La Roche,1436989345,142,2b7kz,8,The French Shuffle,216,Just Like You,house
Ultra Naté,1436989342,4,2cb79,1,BUZZINUNLIMITED,349,Free (Pete Graham & Manta Remix),house
Daniel Dubb,1436986872,3,2cb6w,1,THUMP,395,Always (Original Mix) (from the album Pieces Of The Past),house
Clarian,1436985357,1,2cb5w,1,XLR8R,399,Lucid Dreamers,house
filous,1436986864,283,2caey,2,CHROMEMUSIC,259,Better Off feat. Josh Roa & Bishøp,house
Kilter,1436981670,3,2cb0g,1,The Jackplug,161,They Say (Filip Flip),house
Tim Green,1436982551,2,2cb2q,1,Mixmag,529,Eclipse,house
Hubie Davison,1436963737,13,27ahp,4,nialler9,360,Get On,house
Axel Boman,1436876046,29,2c8ve,6,MOARRR,658,1979,house
Coyu & Edu Imbernon,1436876888,5,2ca5g,1,Mixmag,368,El Baile Aleman (Patrick Topping Remix),house
