artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
dandelion hands,1434059817,0,2btnn,1,Don't Need No Melody,190,eat me out demo,lofi
King Creep,1434315121,1,2bvpz,1,MUSIC BETWEEN FRIENDS,143,I'm No Good,lofi
Go Dugong,1434024904,15,2bt6r,1,Going Solo,153,First Touch (Love Explosion),lofi
dandelion hands,1434059794,1,2btnj,1,Don't Need No Melody,141,ordinary people,lofi
Rice Milk,1433952083,2,2bsn4,1,Austin Town Hall,204,take my weight,lofi
The Dead Ships,1432296011,22,2a1jg,7,The Revue,226,Big Quiet,lofi
The Dead Ships,1432296014,35,27321,6,The Revue,252,Canyon,lofi
Fraternal Twin,1431042557,0,2b79t,1,polaroid,117,Boil,lofi
euphoria again,1431652024,0,2bbd3,1,Swell Tone,100,void in time,lofi
James Wyatt Crosby,1435869323,29,2bs59,4,Queen Beetch,241,O.T.O.T.W.,lofi
christian fitness,1435924575,4,2c583,1,Sweeping The Nation,204,the harder it hits,lofi
HUT,1435683372,1,2c3mh,1,weird canada,116,OLD LADY,lofi
Ariel Pink's Haunted Graffiti,1435843749,312,1125z,14,Avant-Avant,215,Fright Night (Nevermore),lofi
Slanted,1435351765,2,2c2ab,1,Don't Need No Melody,88,Master Of Sound,lofi
HUT,1435683380,1,2c3mj,1,weird canada,160,DROPPERS,lofi
Slanted,1435351761,3,2c2aa,1,Don't Need No Melody,186,Jacob,lofi
Slanted,1435351758,3,2c2a9,1,Don't Need No Melody,230,Cat,lofi
R.S.A.G.,1434462614,22,285x6,5,nialler9,307,Don't Move So Fast,lofi
Slanted,1435351768,6,2c2ac,1,Don't Need No Melody,200,Little Pocket Bread House Bonanza,lofi
satanic ritual abuse,1434007349,1,2bt3j,1,Aimless Skylarking,187,I Woke Up In These Clothes,lofi
ONWE,1425308431,16,28kr7,6,The Deli Magazine,187,FOMO,lofi
Fawks,1426197664,45,2a3ke,1,robot dance music,279,It G Ma (Fawks Flip)- Keith Ape,lofi
Nimbes,1424780064,2,29pyc,1,weird canada,124,Jeloana,lofi
Nimbes,1424780054,9,29pyb,1,weird canada,127,Les Peintres,lofi
Go Dugong,1423921001,6,29gmy,1,Some Candy Talkin',160,A sea of love,lofi
Lowpines,1423696543,14,286t7,3,Deadly Music!,193,Call If You Need Me,lofi
Lowpines,1423696549,6,29esr,1,Deadly Music!,182,Know Your Strength,lofi
teen suicide,1423351314,61,1mvb2,5,We All Want Someone To Shout For,151,i wanna be a witch,lofi
Go Dugong,1423514136,2,29csj,1,Inyourspeakers Media,218,Chalk (feat. LIFE & LIMB),lofi
Slanted,1430338578,3,2b1x0,1,Lo-Pie,146,Gross,lofi
Fraternal Twin,1431042563,18,28xgq,4,polaroid,217,Skin Gets Hot,lofi
downers.,1429532064,4,2av30,1,GIMME TINNITUS,398,Eying the Blank Biface,lofi
Hutch And Kathy,1430326612,8,29mwq,3,Oh Fancy!,180,In Brilliance,lofi
The Dead Ships,1428512826,5,2akve,1,Exclaim!,212,Floorboards,lofi
GYVUS,1428833668,5,2ap9t,1,Audio Aquarium,160,Weekend,lofi
peaer,1427837008,1,2af1a,1,Don't Need No Melody,201,left/felt,lofi
The Fabergettes,1428254531,4,2ahtv,1,50thirdand3rd,148,Ready To Go,lofi
satanic ritual abuse,1427750056,1,2ae5h,2,electric sound of joy,280,Mistake,lofi
peaer,1427836962,1,2af19,1,Don't Need No Melody,180,the dark spot,lofi
ONWE,1424003712,5,2935f,2,CLICK AND LISTEN IT,143,Pure Gold,lofi
Skirts,1418603939,5,28cd5,1,Don't Need No Melody,332,Fall Vice Wars,lofi
Skirts,1418603752,4,28cd2,1,Don't Need No Melody,169,Pink Hair,lofi
Skirts,1418603781,3,28cd3,1,Don't Need No Melody,147,Lazy Lover,lofi
Skirts,1418603851,2,28cd4,1,Don't Need No Melody,277,Ghee,lofi
Nomen Novum,1417640234,1,2861p,1,yvynyl,321,thesickness_nn_version,lofi
