artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Iris Lune,1436982729,20,2bsj7,5,Wonky Sensitive,328,Bring Me the Moon (Single),pop
Pink Feathers,1436982752,14,2bzba,3,DrunkenWerewolf,198,Keep Pretending (HOLYCHILD Remix),pop
Amy Bezunartea,1436982555,1,2caex,2,Austin Town Hall,237,New Villain,pop
Stereo Total,1436982650,0,2cb35,1,The Audiologist,155,Heroes (2015 Remaster),pop
Cloves,1436982481,90,2c9kx,15,UNCANNY,244,Don't You Wait,pop
Old Smile,1436981973,3,2c0me,3,A Feast of Beast,159,When You Come Around,pop
Scavenger Hunt,1436982302,85,2c3tw,4,Waxhole,252,Wildfire (Bee's Knees Remix),pop
elle le fantôme,1436981856,0,2cb17,1,Tiny Mix Tapes,117,sore,pop
The Beach,1436981939,2,2cb1d,1,Kick Kick Snare,308,From Above (Boehm Remix),pop
Day Wave,1436994144,239,2ca8d,12,Write.Click.Cook.Listen ,272,Headcase,pop
Tove Lo,1436996190,3,2cba1,1,Caveman Sound,223,Talking Body (SYRE Remix),pop
Third Eye Blind,1436991266,21,2cb87,1,Kick Kick Snare,227,Semi-Charmed Life (Kasum Remix),pop
Savannah Outen,1436991861,8,2cb89,2,Lipstick Disco,222,Boys (Golden Coast Remix),pop
Ofelia K,1436986256,96,2cag4,12,Winnie Cooper,232,As A Bell,pop
AIR BAG ONE,1436990266,35,2c88z,4,poule d'or,222,¥ Killing Stars ¥,pop
The Drums,1436985411,57,2caaq,5,Discobelle,192,There Is Nothing Left (TOKiMONSTA Remix),pop
Mabel,1436985351,143,2ca1j,20,Sound Injections,230,Know Me Better,pop
Foreign/National,1436982849,12,2cb4j,1,Indie Shuffle,356,Pacific Cruise,pop
leo kalyan,1436993373,322,2c3p3,8,Audio Aquarium,215,golden age,pop
Cloves,1436982477,2245,2bwg9,28,UNCANNY,207,Frail Love,pop
Junior Senior,1436960554,341,1ck1h,5,Punch Magazine,188,Move Your Feet (Tobtok Edit) *,pop
SignA,1436958855,0,2cavw,1,The Last Mixed Tape,228,Lines,pop
Martin Luke Brown,1436955246,21,2c7b5,3,Muzyczne Wędrowanie,219,Scars on Scars,pop
The KickDrums,1436960528,20,2c36a,3,The Wild Honey Pie,217,Better,pop
Jacco Gardner,1436951269,159,29k97,20,Still in Rock,214,Find Yourself,pop
Sterling Silver,1436936429,34,2c5x1,3,Casual Band Blogger,241,Closer To Me,pop
Altered Images,1436939358,1,2car2,1,THE VINYL VILLAIN,197,Another Lost Look (recorded live),pop
POOM,1436910601,73,25ae5,2,SHREM'S CAROUSEL OF ÜBER NERDINESS,193,Il n'y a pas d'Amour Heureux (POOM Cover),pop
good try,1436948467,1,2cask,1,PerfectMidnightWorld,127,get me,pop
Passion Pit,1436981554,12,2cb05,1,All Things Go,312,Sleepyhead (Cerulean City Remix),pop
Alessia Cara,1436981613,76,2cakr,2,Kick Kick Snare,208,Here (Lucian Remix),pop
The Black Tambourines,1436967558,54,16786,11,Avant-Avant,260,Tommy,pop
Gretchen,1436968810,2,2caze,1,Rare Candy,67,Novo Sarajevo,pop
Five Man Electrical Band,1436966117,4,2cayk,1,50thirdand3rd,245,Signs,pop
Shura,1436966135,41,2c9j6,2,ilovepie,293,White Light (Mt. Wolf Remix),pop
AaRON,1436964585,1,2cay2,1,Muros de Absenta,241,U Turn (Lili),pop
Mélanie Laurent,1436964579,2,2cay1,1,Muros de Absenta,410,Circus,pop
Lana Del Rey,1436960602,49,2catw,2,Harder Blogger Faster,354,Honeymoon,pop
elodieO,1436963719,1,2caxm,1,Filles Sourires,250,Amoureuse,pop
Jacco Gardner,1436951253,9,2b0j4,2,Still in Rock,329,Hypnophobia,pop
RAMZI,1436889396,8,2c5dx,3,Tiny Mix Tapes,176,princess of cups,pop
Janet Jackson,1436888136,48,2c74v,2,Silence Nogood,227,So Excited (Bishiclet Remix),pop
Let's Away,1436879227,23,2c3f5,8,Fresh Beats 365,229,Golden Morning,pop
Jasmine Thompson,1436881343,175,2c9tw,3,Jump Into Limbo,242,Adore (Addal Remix),pop
FANS,1436874569,14,2c7ty,7,The Revue,229,Born Into,pop
Slow Knights,1436869886,14,2ca4a,1,MCL: Musique au Claire de Lune,310,Erotic City Nights (Dino Soccio Remix),pop
Pet Shop Boys,1436875257,3,2ca5c,1,Crying All The Way To The Chip Shop,257,Up Against It,pop
Lobo,1436869848,28,2c8s9,2,MCL: Musique au Claire de Lune,213,Stevie Wonder - My Cherie Amour (Lobo Remix),pop
Sebastien Tellier,1436869869,160,2c0dd,6,MCL: Musique au Claire de Lune,409,Comment Revoir Oursinet ? (Darius Remix),pop
Leo,1436908883,2,2cajb,1,monkeyboxing,186,Dreams (Scour Records Freemix),pop
Leo,1436908889,4,2cajc,1,monkeyboxing,206,Lovin' (Scour Records Freemix),pop
LINNEY,1436900455,10,2cafa,1,Indietronica,198,Coming Back for More,pop
I'm Your Vinyl,1436903346,4,2cagc,1,nialler9,307,Erase It (Daithi Remix),pop
The Lemons,1436897226,3,2cae7,1,Consequence of Sound,28,Ice Cream Shop,pop
Christian Rich,1436896145,54,2bx57,10,Okayafrica,265,"Compromise (Feat Sinead Harnett, Gold Link & Secaina Hudson)",pop
JOBA,1436893230,22,2c963,2,Sonofmarketing,267,Sad Saturdays,pop
Shura,1436894983,10,2cadm,1,Kick Kick Snare,347,White Light (Blonde's Acid Trip),pop
Modjo,1436891017,4435,1rf0g,17,JayeL Audio Music,283,Lady (Kaytranada Remix),pop
MADAM WEST,1436890513,2,2caan,1,No Smoking Media,309,Wade In The Water,pop
M.I.L.K.,1436877309,101,2c0py,14,GreenGo,217,Everything You Know,pop
Tankus the Henge,1436825228,4,2bz42,2,Kaptin's Blog,178,Weather,pop
Chumbawamba,1436823087,1,2c9x1,1,Across The Kitchen Table,133,Whitewash,pop
Bearoid,1436814896,4,2c9tf,1,Neonized Magazine,211,Martina,pop
KOSMO KAT,1436815307,12,2c9ts,1,Abduction Radiation,202,Ur Q't Attitude,pop
GRRL PAL,1436824569,35,2c6gb,7,The Autumn Roses,221,Vice,pop
The Airplanes,1436811260,6,2c9rb,1,Austin Town Hall,245,Where You Are Now,pop
Tep No,1436811874,4488,2bnb8,16,Play My Tape,236,Pacing,pop
Tei Shi,1436789232,3038,2aadc,56,Pan od Muzyki,212,Go Slow,pop
Shy Girls,1436789243,259,299qk,11,Pan od Muzyki,189,Arrest Me (feat. Tei Shi),pop
Icona Pop,1436860810,1703,2bhde,8,Que Club,170,Emergency,pop
LoneLady,1436869717,57,28ztk,21,DrunkenWerewolf,357,Bunkerpop,pop
baden baden,1436839250,25,277d3,2,Muros de Absenta,218,J'ai plongé dans le bruit,pop
Damn the Witch Siren,1436842764,12,2c95j,2,Tuned Up,189,Don't Go Away,pop
Sunday Lane,1436835670,21,2c3hq,4,Write.Click.Cook.Listen ,228,Parliament,pop
Chloé Lacasse,1436839258,0,2ca00,1,Muros de Absenta,223,Renverser la vapeur,pop
Georgi Kay,1436832497,6,2c9yv,1,Wonky Sensitive,207,Looking At You,pop
Pawws,1436832506,112,2c8kk,6,Wonky Sensitive,180,All I Wanna Do (demo),pop
Chumbawamba,1436823094,1,2c9x2,1,Across The Kitchen Table,39,Prologue,pop
Strange Talk,1436826077,47,2c3wv,9,acid stag,248,Something's Bout To Change,pop
Plush,1436812622,4,2b39q,2,The Deli Magazine,256,WAYN,pop
Girlfriend,1436705346,6,2c98g,1,Niche Music,197,Lee & the Lovedaddies,pop
X Ambassadors,1436706434,70,2c98s,1,Music You Wanna Listen To,248,Renegades (Stash Konig Bootleg Remix),pop
HANA,1436690959,1020,2c6zs,16,Pan od Muzyki,231,Avalanche,pop
Rick Astley,1436702881,11,2c98d,1,Berkeley Place,238,Never Gonna Give You Up (ENTRSTELLAR REMIX),pop
LoneLady,1436627647,98,27ccj,12,MusikBlog,377,Groove It Out,pop
Alvvays,1436619632,69,25vcs,2,The Revue,228,Party Police,pop
NURI,1436622553,9,2c92w,1,Music You Wanna Listen To,270,Summer (Original Mix),pop
Tei Shi,1436594851,12,2c90j,1,Tonspion,291,Bassically (KCRW Live Version),pop
Taylor Swift,1436619679,79,2c92n,1,Jump Into Limbo,205,Bad Blood (Gladiator Remix),pop
Symfoniorkestern,1436777373,6,2c9ew,1,Que Club,189,Syndarna,pop
Indila,1436780590,14,2c9fk,1,The 'Spill,213,Dernière danse,pop
dalekko,1436773331,2,2c9e8,1,beehype,309,Pondělí,pop
Theo Berndt,1436777357,13,2c3gz,7,Que Club,200,Guess You Never Thought Of It That Way,pop
Semisonic,1436766967,42,1eyhb,2,THE VINYL VILLAIN,280,Secret Smile,pop
Semisonic,1436766972,63,eq53,5,THE VINYL VILLAIN,271,Singing In My Sleep,pop
Robyn,1436736923,2969,2c3ac,6,Dancing Astronaut,271,Dancing On My Own (Templeton Remix),pop
Semisonic,1436766977,335,3f6s,5,THE VINYL VILLAIN,273,Closing Time,pop
Leona Lewis,1436722581,17,2c9a3,1,Indie Shuffle,292,I Am (DEVolution Remix),pop
Alessia Cara,1436726544,24,2c9ae,1,Waxhole,146,Here (Faint Bootleg),pop
Nick Jonas,1436634847,678,2c8sh,2,Dancing Astronaut,220,Teacher (Young Bombs Remix),pop
KATIE KIM,1436516475,12,27vhm,2,The G-Man,291,Really Far,pop
BEST FRIENDS,1436522410,53,2bj31,11,DIY,208,Cold Shapes,pop
Robert Smith,1436512881,7,2c8fx,1,THE VINYL VILLAIN,231,There's A Girl In The Corner,pop
chastity,1436512893,3,2bz5t,2,Mouser,118,manning hill,pop
Sofie Letitre,1436501665,3,2c8ev,1,Burl Veneer's Music Tumblr,258,Bare,pop
Baby Bash,1436485778,1203,2c74b,4,Kick Kick Snare,266,"Baby, I'm Back feat. Akon (Christofi Remix)",pop
DOJA CAT,1436485781,4,2c8d7,1,Keep On Repeat,187,BOUT THAT LIFE ( LONE x DOJA MASH),pop
Tove Lo,1436477986,45,2c8bn,1,robot dance music,233,Talking Body (Yung Wall Street Flip),pop
Adam Lambert,1436477976,26,2c8bj,1,robot dance music,264,Ghost Town (COSSY REMIX),pop
Janet Jackson,1436583632,45,2c1st,2,SoulBounce,202,Would You Mind (E.DOZA REMIX),pop
Tinashe,1436579779,5496,2aky4,10,Maddecent,192,All Hands On Deck (Giraffage remix),pop
Katy Perry,1436562521,21,2c8xr,1,Cause=Time,212,Roar (The Noise Noise Remix),pop
Rihanna,1436562491,199,2c4tv,2,Cause=Time,119,Bitch Better Have My Money (Nilo G Remix),pop
AIR BAG ONE,1436556492,64,2btxn,5,The Burning Ear,228,¥ You've Got Somethin' ¥,pop
HOLYCHILD,1436563687,1068,2c8sg,2,Dancing Astronaut,191,Money All Around (RAC Mix),pop
Lila,1436539114,6,2c8nw,1,beehype,169,Strobo (single),pop
Youceff Kabal,1436550201,20,2bp9c,2,Abduction Radiation,233,Ride For Tide,pop
San Fermin,1436527693,1321,2c6zj,2,Music You Wanna Listen To,272,Emily (Win & Woo Remix),pop
XO,1436550189,38,2c68j,3,Abduction Radiation,215,The Light,pop
Ben Khan,1436505672,2426,2a2g2,54,Twee Huizen Verder,175,1000,pop
I Am Harlequin,1436425245,22,2c22t,2,Planeta Pop,218,Dance with Anyone (Farleon Remix),pop
The Shorts,1436436022,1,2c7xf,1,Emerging Indie Bands,104,Spent,pop
Of Montreal,1436400085,434,78jm,42,IndiePANTS,199,Heimdalsgate Like A Promethean Curse,pop
free cake for every creature,1436412133,8,2c7tb,1,Steep Sounds,130,first show,pop
Nick Jonas,1436398530,18,2c7sc,1,Idolator,211,Teacher (Dave Audé Remix Edit),pop
Molly Moore,1436390891,10,2c7q4,1,The Burning Ear,246,Natural Disaster (Besnine Remix),pop
Prints,1436390901,4,2c7q6,1,The Burning Ear,215,im a wolf,pop
Fatboy Slim,1436382859,693,6yfw,5,Mixmag,322,Praise You,pop
The Number Line,1436381919,5,2c7kg,1,THUMP,394,Fever Dream (Sergio Levels Remix),pop
Wild Ones,1436474538,156,2c3sh,8,i guess i'm floating,223,Show Me Islands,pop
Anna of the North,1436507794,561,24ysg,18,Stereofox,182,Sway,pop
VARSITY,1436462219,3,2c866,1,Chicago Reader,174,Fall Back on the Arrow You Love,pop
Boaz,1436471778,25,2c71v,2,nah right,168,Choices Freestyle - Boaz,pop
Flamingods,1436443715,5,2c7zc,1,The Line Of Best Fit,260,Quesso - (Esmink Remix),pop
The Chainsmokers,1436461067,69,2c85d,1,Dancing Astronaut,289,Good Intentions feat. Bully Songs (DallasK Remix),pop
Melanie Durrant,1436446822,6,2c805,1,AFROPUNK - Sound Check,238,Mr. Wonderful (Prod. Kuya Productions),pop
Jasmine Thompson,1436447659,53,2c80a,1,Yaqui,188,Adore,pop
The Shorts,1436436092,1,2c7xh,1,Emerging Indie Bands,215,You don't get it,pop
