artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Albert Hammond Jr.,1436985338,43,2bnrj,11,Abduction Radiation,235,Losing Touch,rock
Foreign/National,1436982849,12,2cb4j,1,Indie Shuffle,356,Pacific Cruise,rock
Cloves,1436982481,90,2c9kx,15,UNCANNY,244,Don't You Wait,rock
Cloves,1436982477,2245,2bwg9,28,UNCANNY,207,Frail Love,rock
Old Smile,1436981973,3,2c0me,3,A Feast of Beast,159,When You Come Around,rock
Jacuzzi Boys,1436981768,12,2camh,4,Austin Town Hall,187,Happy Damage,rock
Royal Headache,1436981778,111,2bpgc,25,BrooklynVegan,135,High,rock
Editors,1436981640,88,2at28,12,mapambulo,307,No Harm,rock
Zig Zags,1436981684,2,2cb0k,1,BrooklynVegan,151,Sunken City,rock
Death in the Afternoon,1436991878,12,2ca0j,3,UNCANNY,230,'82,rock
Day Wave,1436994144,239,2ca8d,12,Write.Click.Cook.Listen ,272,Headcase,rock
The Dears,1436991256,4,2cb5f,2,KEXP Blog,332,I Used To Pray For The Heavens To Fall,rock
Third Eye Blind,1436991266,21,2cb87,1,Kick Kick Snare,227,Semi-Charmed Life (Kasum Remix),rock
Hagaliden,1436988090,2,2b748,2,Que Club,252,Förunderligt och märkligt,rock
Samantha Glass,1436993435,0,2cb8x,1,Burl Veneer's Music Tumblr,251,The Carpet Unravels,rock
Dirty Ghosts,1436984065,14,2c4ra,3,BrooklynVegan,198,Cataract,rock
Royal Headache,1436986216,5,2cb0v,8,Ad Hoc,144,Another World,rock
The Vaccines,1436982863,5,2cb4n,1,Indie Shuffle,181,Strangers (Charlie Klarsfeld Remix),rock
Promised Land Sound,1436982897,1,2cb4t,1,stereogum,288,"For Use and Delight: ""She Takes Me There"" (2015, PoB-22)",rock
Ded Rabbit,1436981981,0,2cb1g,1,The Vinyl District,149,It Could Always Rain,rock
The Glass Children,1436925373,13,2asx8,2,Wonky Sensitive,237,Capture,rock
The Gradients,1436933251,0,2caqa,1,Giant Scary Things,145,Charlie 182,rock
J Mascis,1436940020,305,25ss0,22,Stereofox,210,Wide Awake,rock
The Glass Children,1436925378,8,2bz73,3,Wonky Sensitive,261,Wrapped In Gold,rock
Sizzy Rocket,1436906654,4,2cahm,1,Wonky Sensitive,210,Boy,rock
Black Rabbit,1436898098,2,2caea,1,The Deli Magazine,149,Sayonara,rock
Young Guns,1436901271,26,2a12s,3,Rock And Roll Creations,205,Rising Up,rock
Nelson,1436894964,2,2bnrc,2,The Up-Turn,171,Rabbit Hole (Prod. L'Orange),rock
Tigercub,1436891088,2,2cab8,1,The Line Of Best Fit,181,Destroy,rock
Gretchen,1436968810,2,2caze,1,Rare Candy,67,Novo Sarajevo,rock
LEGS,1436962501,100,29jkd,7,Indie Shuffle,365,Top Of The World,rock
