artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
SignA,1436958855,0,2cavw,1,The Last Mixed Tape,228,Lines,singer-songwriter
Júníus Meyvant,1436961012,50,2bk8v,5,The Revue,224,Hailslide,singer-songwriter
Sharon Van Etten,1436957822,27,2cafz,6,Miojo Indie,251,Words,singer-songwriter
Debris Hill,1436959285,1,2caw0,1,polaroid,269,Disintegrate,singer-songwriter
Strand Of Oaks,1436920089,2,2cabn,2,Northern Transmissions,249,HEAL (Congleton Mix),singer-songwriter
The Tallest Man On Earth,1436904982,2460,2aqj4,40,We All Want Someone To Shout For,304,Dark Bird Is Home,singer-songwriter
J Mascis,1436940020,305,25ss0,22,Stereofox,210,Wide Awake,singer-songwriter
JOBA,1436893230,22,2c963,2,Sonofmarketing,267,Sad Saturdays,singer-songwriter
Palace,1436901295,7,2caft,1,Popped Music,238,Tomahawk,singer-songwriter
Tom Rosenthal,1436985437,18,2cb6b,1,Indie Shuffle,271,Its ok (Niklas Ibach Remix),singer-songwriter
Savannah Outen,1436991861,9,2cb89,2,Lipstick Disco,222,Boys (Golden Coast Remix),singer-songwriter
Jenny Hval,1436982815,1,2cb4d,1,Another Dying Art Form,293,Heaven,singer-songwriter
Jenny Hval,1436982831,136,2amm8,19,Another Dying Art Form,227,Sabbath,singer-songwriter
Albert Hammond Jr.,1436985338,43,2bnrj,11,Abduction Radiation,235,Losing Touch,singer-songwriter
Jenny Hval,1436982826,63,29y33,26,Another Dying Art Form,277,That Battle Is Over,singer-songwriter
FAUVE,1436964569,191,1wpwe,2,Muros de Absenta,273,Nuits fauves,singer-songwriter
Amy Bezunartea,1436982555,1,2caex,2,Austin Town Hall,237,New Villain,singer-songwriter
Chelsea Wolfe,1436961008,377,2c7ew,16,The Revue,336,After the Fall,singer-songwriter
Mélanie Laurent,1436964579,2,2cay1,1,Muros de Absenta,410,Circus,singer-songwriter
Angel Snow,1436959715,1,2caw7,1,Ryan's Smashing Life,201,Secret,singer-songwriter
LITTLE WINGS,1436865246,89,29sdm,11,Loud and Quiet,224,By Now,singer-songwriter
Rozi Plain,1436869734,80,293m4,14,DrunkenWerewolf,184,'Actually',singer-songwriter
Georgi Kay,1436832497,6,2c9yv,1,Wonky Sensitive,207,Looking At You,singer-songwriter
Great Lake Swimmers,1436834536,4,2c9z5,1,Muros de Absenta,192,Don't Leave Me Hanging,singer-songwriter
Plush,1436812622,4,2b39q,2,The Deli Magazine,256,WAYN,singer-songwriter
Josh Garrels,1436804071,10,2c9nq,1,TRNDMUSIK,361,Processional (David K. Bootleg),singer-songwriter
Chelsea Wolfe,1436810557,57,2b1sf,15,This Is That Song,347,Iron Moon,singer-songwriter
Stefana Fratila,1436803085,5,2bvbf,2,Silent Shout,265,Heartland,singer-songwriter
Stefana Fratila,1436803138,4,2bzpq,3,Silent Shout,224,Tugging,singer-songwriter
Ali Barter,1436886046,24,2c2c6,3,When The Gramophone Rings,206,Hypercolour,singer-songwriter
Ô Paon,1436893368,1,2cacj,1,Niche Music,398,Manches Courtes,singer-songwriter
Christopher Paul Stelling,1436885401,6,2ca8f,1,Folk Radio UK,202,Horse,singer-songwriter
Ali Barter,1436886051,14,27ahs,3,When The Gramophone Rings,228,Community,singer-songwriter
Heather Woods Broderick,1436879668,42,2benz,9,The Revue,221,Wyoming,singer-songwriter
Amy Winehouse,1436883672,595,58bc,24,Faded Glamour,243,Back To Black,singer-songwriter
Lobo,1436869848,28,2c8s9,2,MCL: Musique au Claire de Lune,213,Stevie Wonder - My Cherie Amour (Lobo Remix),singer-songwriter
Heather Woods Broderick,1436879664,46,2ax52,13,The Revue,416,A Call For Distance,singer-songwriter
LoneLady,1436869717,57,28ztk,21,DrunkenWerewolf,357,Bunkerpop,singer-songwriter
Fink,1436875240,2,2ca59,1,Noonday Tune,319,Fall Into The Light (Deadbeat Remix),singer-songwriter
Nathaniel Rateliff,1436816984,79,2c0tk,3,The Burning Ear,248,S.O.B.,singer-songwriter
LoneLady,1436627647,98,27ccj,12,MusikBlog,377,Groove It Out,singer-songwriter
Drones Club,1436639779,8,2c94v,1,ShinyShinyNew,299,Notion,singer-songwriter
Jarrod Dickenson,1436613699,5,2c91w,1,2 U I Bestow,216,Ballad of the Lonesome Traveler,singer-songwriter
Taylor Swift,1436619679,79,2c92n,1,Jump Into Limbo,205,Bad Blood (Gladiator Remix),singer-songwriter
Flora Cash,1436537661,29,2c01f,2,poule d'or,257,Save Me,singer-songwriter
Anne-Marie,1436526847,6,2c8j1,1,BUZZINUNLIMITED,290,Stole (Chloe Martini Refix),singer-songwriter
Siv Jakobsen,1436528954,10,2c8jy,1,Niche Music,197,How We Used To Love (Martin Hviid Remix),singer-songwriter
Ezra Furman,1436518819,146,2azxv,14,i-D,251,Lousy Connection,singer-songwriter
Reservations,1436527735,2,2c8jb,1,The Revue,266,Planet,singer-songwriter
Tei Shi,1436789232,3038,2aadc,56,Pan od Muzyki,212,Go Slow,singer-songwriter
Heather Woods Broderick,1436802975,37,2btgf,9,Inyourspeakers Media,268,Mama Shelter,singer-songwriter
J.J. Cale,1436780616,47,104t8,4,Still in Rock,157,Call Me The Breeze,singer-songwriter
RY X,1436785264,128,24jv9,4,Es ist Liebe,322,Howling (Live),singer-songwriter
Jason Isbell,1436753673,4,2c9cq,1,Tincanland,196,24 Frames,singer-songwriter
Indila,1436780590,14,2c9fk,1,The 'Spill,213,Dernière danse,singer-songwriter
Jason Isbell,1436753681,4,2c9cr,1,Tincanland,246,How To Forget,singer-songwriter
Jason Isbell,1436753689,3,2c9cs,1,Tincanland,232,Flagship,singer-songwriter
Owen Pallett,1436667707,27,2c32a,9,acid stag,274,The Phone Call,singer-songwriter
Isbells,1436765295,104,16d8c,2,Stereofox,246,Maybe,singer-songwriter
Tei Shi,1436594851,12,2c90j,1,Tonspion,291,Bassically (KCRW Live Version),singer-songwriter
Anne-Marie,1436386906,14,2c7e8,3,Pigeons and Planes,233,Stole,singer-songwriter
Felon,1436389246,55,2c7pp,1,Caveman Sound,169,Isla Feat. Kaleem Taylor (Radio Edit),singer-songwriter
Mac DeMarco,1436368221,1629,1nrp8,64,Soundfriend,191,My Kind of Woman,singer-songwriter
tim guy,1436376255,21,2bvw5,3,Queen Beetch,232,St Petersburg,singer-songwriter
T. Hardy Morris,1436351338,4,2c79n,1,The Mad Mackerel,175,Shit In The Wind,singer-songwriter
Destroyer,1436312951,456,2bf35,49,Poetry in an Empty Coke Can,229,Dream Lover,singer-songwriter
Marika Hackman,1436350035,3,2c794,1,DrunkenWerewolf,206,"Undone, Undress",singer-songwriter
Dan Andriano in the Emergency Room,1436295603,2,2c6xz,1,For the Love of Punk,204,Wait,singer-songwriter
flor,1436305838,2534,2c135,12,What Else Is There?,246,warm blood,singer-songwriter
Rachel Sermanni,1436473276,9,2c6j4,2,Just Music That I Like,238,Don't Fade,singer-songwriter
Palace,1436513714,499,2bwde,5,Little Indie Blogs,267,Head Above The Water,singer-songwriter
stephanie nilles,1436466298,5,2c87q,1,The Mad Mackerel,306,open season,singer-songwriter
Obenewa,1436471027,28,2c08z,3,Alt Citizen,185,Solid Gold,singer-songwriter
Samantha Savage Smith,1436462113,4,2c85v,1,Chart Attack,171,It's A Burn,singer-songwriter
Sharon Van Etten,1436463307,814,2b7q7,24,Jonk Music,280,Just Like Blood,singer-songwriter
Ezra Furman,1436445731,342,1yw0b,16,Insomnia Daily Dose,235,My Zero,singer-songwriter
The Color Waves,1436458260,0,2c844,1,buffaBLOG,312,Chirology,singer-songwriter
