mediaid,tags
265r5,"[u'indie', u'indie rock', u'indie pop', u'surf rock', u'pop']"
229ha,"[u'happy dance', u'pop', u'indie', u'alternative', u'indie rock', u'happy', u'2010s', u'2014', u'hollister', u'male vocalists']"
2b9zs,[]
28h1t,[]
2aybj,[]
2b8z0,"[u'indie', u'electronic', u'need to scrobble', u'chillout', u'downtempo', u'female vocalist']"
2bbc8,"[u'female vocalist', u'chillout', u'indie', u'downtempo', u'trip-hop', u'australian']"
2ba6s,"[u'trap', u'electronic', u'experimental', u'heavy']"
2baq6,"[u'electronic', u'hip hop', u'trip-hop', u'ninja tune', u'electronica']"
2b92r,"[u'pop', u'swedish', u'electronic', u'female vocalist', u'indie']"
2b9xa,"[u'electronic-lounge', u'groove', u'minnesota', u'sxsw 2010s', u'nu-bluz', u'nu disco', u'electro', u'indie', u'american']"
2b8xm,"[u'electronic', u'indie pop', u'downtempo', u'dreampop', u'british', u'years']"
2c063,[]
2c03e,"[u'electro', u'disco', u'retro-electro', u'dance', u'electronic', u'valerie']"
29w6h,"[u'folk', u'australian', u'indie folk', u'singer-songwriter', u'indie', u'female vocalist']"
2c1r6,"[u'funk', u'soul', u'metalcore', u'stones throw']"
2bznk,[]
229wz,"[u'icelandic', u'rock', u'female vocalist', u'iceland', u'icelandic rock']"
247x6,"[u'chillwave', u'lo-fi', u'electronic', u'synthpop', u'chillout']"
23px8,[]
2azcr,[]
2b0gs,[]
1f5yf,[]
1ffe4,[]
1rmtg,[u'los angeles']
4t74,"[u'electronic', u'instrumental', u'indie', u'electronica', u'electro', u'dance', u'ratatat', u'indietronica', u'guitar', u'rock']"
1410v,"[u'french house', u'house', u'french touch', u'rap', u'disco', u'disco house', u'torun', u'poka', u'electronic']"
skyq,"[u'electro', u'indie pop', u'dance', u'electronic', u'disco', u'check out again', u'fun', u'highly bloggable electro']"
110ex,"[u'folk', u'bluegrass', u'thrashgrass', u'indie pop', u'alt-country', u'indie', u'country', u'minnesota', u'energetic', u'americana']"
45qw,"[u'britpop', u'rock', u'90s', u'british', u'oasis', u'alternative', u'indie', u'alternative rock', u'indie rock', u'pop']"
2c10q,"[u'hip hop', u'rap', u'shitty anal gaycore']"
2bq1c,[]
296pt,"[u'hip hop', u'rap', u'chicago', u'jazz rap']"
2bzr3,[]
2c0y2,[]
2bzm1,"[u'indie', u'indie pop', u'british']"
2c221,"[u'electronic', u'indie', u'british', u'electropop']"
2c228,"[u'rap', u'hip hop', u'conscious hip hop']"
2by5n,"[u'electronic', u'indie', u'indie pop']"
24te4,"[u'visual kei', u'j-rock', u'jrock']"
23c5d,[]
2c08j,[]
2c0vf,[]
2bzty,"[u'pop', u'russian', u'dance', u'90s', u'russian pop', u'electronic']"
2c2a8,"[u'hip hop', u'rap', u'west coast']"
2c298,"[u'rhythm and blues', u'electronic', u'dubstep', u'canadian', u'prog-rhythm and blues']"
2bzxz,[]
2c0xq,[]
2c0ae,[]
2c15e,[]
2c1vt,[]
2aynk,"[u'rap', u'hip hop', u'conscious hip hop']"
sqpk,"[u'electronic', u'top quality', u'disco', u'ion b radio', u'mind-blowing shit', u'electronica', u'electro', u'trippy', u'dance', u'gorgeousness']"
v81m,"[u'rap', u'motivational', u'eminem', u'678-74-311-75', u'dirty south', u'hip hop', u'golephish', u'drake', u'dj dumbass']"
27mzc,"[u'electronic', u'chillout', u'ambient', u'electronica', u'norwegian']"
26mqp,[]
25z92,"[u'dreampop', u'folk', u'acoustic', u'indie', u'experimental']"
26eye,"[u'soul', u'rhythm and blues', u'blues', u'60s', u'oldies']"
1agk1,"[u'indie pop', u'indie']"
smtq,"[u'house', u'favourite remixes', u'electro']"
1b9zx,"[u'hip hop', u'rap', u'alternative rap', u'house']"
6fnn,"[u'folk', u'indie', u'indie folk', u'gypsy', u'balkan', u'alternative', u'beautiful', u'beirut', u'singer-songwriter', u'summer']"
205k2,"[u'hip hop', u'rap', u'underground hip hop', u'alternative rap']"
204z0,"[u'indie', u'electro', u'perth', u'cut copy', u'the presets', u'crystal castles', u'van she', u'sun city', u'grafton primary', u'crooked colours']"
11f4z,"[u'dirty south', u'hip hop', u'rap', u'southern rap', u'houston', u'ugk']"
27170,"[u'indie', u'female vocalist', u'british', u'alternative']"
12nm7,"[u'electro', u'electronic', u'fidget house', u'house', u'dance', u'electronica']"
176za,"[u'electronica', u'downtempo', u'nu rave', u'downbeat', u'electro']"
26xhz,[]
26x11,"[u'indie', u'indie pop', u'electropop', u'electronic', u'electronica']"
22ky1,[]
26by0,"[u'dreampop', u'indie', u'indie pop', u'chillout', u'lastfmsc', u'american']"
26khp,"[u'hip hop', u'rap', u'underground hip hop']"
21kgk,[]
24s65,[]
25e7m,"[u'folk', u'acoustic', u'singer-songwriter']"
2651y,"[u'electronic', u'moombahton', u'brujahton']"
1n80b,"[u'post rock', u'math rock', u'noise rock']"
26dqh,"[u'electronic', u'idm', u'ambient', u'experimental', u'electronica']"
td31,"[u'house', u'for later', u'electro house', u'remix', u'electronic', u'electro']"
tjvw,"[u'hip hop', u'rap', u'chill', u'public enemy', u'soundtrack', u'90s', u'new york', u'old school', u'american', u'explicit']"
22m21,"[u'pop', u'indie pop', u'weird canada', u'5432fun', u'lo-fi', u'indie', u'psychedelic pop', u'folk', u'dreampop']"
285hh,[]
260dr,"[u'indie pop', u'indie', u'twee', u'female vocalist', u'acoustic']"
27ehz,"[u'trap', u'electronic', u'bass']"
239bn,[]
16hr5,"[u'indie', u'alternative rock', u'indie rock', u'sonic rock', u'aitch', u'chill', u'aitchknight', u'aitchsonic', u'moonh8sun', u'aitchchill']"
rhs4,"[u'jay-z', u'hip hop', u'state property']"
27qph,"[u'electronica', u'indie', u'electronic', u'electro', u'dark', u'try']"
27x6p,[]
w4d2,"[u'2010s', u'rel-mnth:2010s:november', u'so funky', u'soul', u'monte carlo nightss', u'neo soul', u'bbe']"
1e7j4,"[u'2010s', u'indie rock', u'indie', u'alternative', u'2011', u'radioeins', u'21st century rock', u'indie pop', u'rock', u'alternative rock']"
1993j,"[u'hip hop', u'aitchknight', u'moonh8sun', u'aitch', u'aitchrap', u'lupe fiasco', u'alternative rap', u'cool down', u'2010s', u'chicago']"
17a3h,"[u'winter', u'come on winter', u'the elements', u'christmas']"
emqs,[]
wm2h,[]
kabk,[]
xbmh,[]
1b0e2,[u'cover']
1agyw,[]
