tag,total
'indie',266
'electronic',228
'rock',127
'hip hop',126
'alternative',106
'folk',97
'indie rock',88
'rap',87
'alt-country',86
'indie pop',86
'pop',80
'singer-songwriter',80
'dance',76
'electronica',74
'electro',61
'female vocalist',60
'house',59
'americana',37
'2010s',35
'british',35
'mashup',35
'experimental',34
'chillout',33
'electropop',32
'acoustic',31
'psychedelic',29
'remix',26
'soul',26
'lo-fi',25
'chill',23
'american',22
'dubstep',21
'alternative rock',20
'catchy',20
'cover',20
'electro house',19
'synthpop',19
'00s',18
'2011',18
'ambient',18
'beautiful',18
'downtempo',18
'dreampop',18
'male vocalists',18
'mellow',18
'summer',18
'underground hip hop',18
'french',17
'canadian',16
'funk',16
'happy',16
'psychedelic rock',16
'swedish',16
'australian',15
'awesome',15
'country',15
'indie folk',15
'chillwave',14
'indietronica',14
'2009',13
'blues',13
'folk rock',13
'punk',13
'nu disco',12
'progressive house',12
'dreamy',11
'epic',11
'indie dance',11
'mash-up',11
'rhythm and blues',11
'alternative rap',10
'disco',10
'new york',10
'best of 2011',9
'chicago',9
'shoegaze',9
'90s',8
'norwegian',8
'party',8
'southern rock',8
'street punk',8
'best of 2009',7
'club',7
'dub',7
'kickasstic',7
'nashville',7
'pay attention',7
'post-punk',7
'recommended',7
'techno',7
'60s',6
'best of 2010s',6
'britpop',6
'dirty south',6
'funky',6
'instrumental',6
'seattle',6
'upbeat',6
'alt country',5
'christian',5
'classic rock',5
'dj prophet',5
'fun',5
'melancholy',5
'northwest',5
'piano',5
'post amoeba',5
'post core',5
'post grunge folk',5
'post post',5
'reggae',5
'southern rawbilly',5
'top quality',5
'trip-hop',5
'aitch',4
'alternative hip hop',4
'bass',4
'california',4
'chillstep',4
'dirty laundry',4
'disco house',4
'drum and bass',4
'eminem',4
'fav',4
'garage rock',4
'groovy',4
'guitar',4
'hardcore',4
'jay-z',4
'minimal',4
'oldies',4
'post-rock',4
'remixes',4
'soundtrack',4
'speed freaks',4
'sweet',4
'swingin summer singles',4
'trance',4
'trippy',4
'underground',4
'11',3
'70s',3
'80s',3
'aitchsonic',3
'blues rock',3
'cool',3
'dj',3
'drake',3
'east coast rap',3
'electroclash',3
'ethereal',3
'favourite remixes',3
'foster the people',3
'freak folk',3
'french house',3
'french touch',3
'indie electronic',3
'ion b radio',3
'italian',3
'jazz',3
'kings of convenience',3
'mashups',3
'minnesota',3
'moonh8sun',3
'nu-disco',3
'phoenix',3
'pop rock',3
'quirky',3
'r&b',3
'rocket shoes mixtapes',3
'sad',3
'southern rap',3
'stoner rock',3
'surf rock',3
'trap',3
'turntablism',3
'uk',3
'west coast',3
'whistling',3
'winter',3
'2012',2
'5432fun',2
'acerbic',2
'acid',2
'african',2
'aitchchill',2
'aitchknight',2
'aitchrap',2
'amazing',2
'animals',2
'audioase',2
'avant-garde',2
'beats',2
'bev g',2
'bluegrass',2
'breaks',2
'brilliant',2
'canada',2
'catchy as hell',2
'check out',2
'chill groove',2
'cocktails at sunset',2
'conscious hip hop',2
'country rock',2
'cover songs',2
'dance dance dance',2
'deadmau5',2
'deep house',2
'delicious',2
'drinking',2
'dutch',2
'easy',2
'ed banger',2
'edit',2
'favs4265',2
'feel good',2
'folktronica',2
'freedom',2
'funk rock',2
'fusion',2
'gangsta rap',2
'german',2
'glo-fi',2
'great cover',2
'great remix',2
'grime',2
'grunge',2
'gypsy',2
'hard rock',2
'heavy',2
'hypemachine',2
'icelandic',2
'idm',2
'inspirational',2
'irish',2
'lastfmsc',2
'liquid funk',2
'listen loud',2
'local',2
'los angeles',2
'lupe fiasco',2
'makes me smile',2
'male vocals',2
'mali',2
'mash up',2
'me',2
'metalcore',2
'mfnw',2
'moombahton',2
'morning maniac music',2
'motown',2
'music',2
'my life soundtrack',2
'need to scrobble',2
'neo-soul',2
'netlabel',2
'new rave',2
'new zealand',2
'new',2
'nice',2
'nix partly',2
'nu rave',2
'other level',2
'passion pit',2
'personal',2
'philly',2
'post rock',2
'power pop',2
'powerful',2
'psychobilly',2
'punk rock',2
'r\xf6yksopp',2
'radio paradise',2
'radioparadise',2
'ratatat',2
're-re-re-re-re-mixed songs',2
'rebel',2
'relaxing',2
'retro',2
'sexy',2
'ska',2
'smooth',2
'sonic rock',2
'soothing',2
'stoner',2
'summertime',2
'surf',2
'sxsw 2011',2
'sxsw2007',2
'synth',2
'take cover',2
'the genre',2
'the xx',2
'tipicos topicos',2
'tonder festival 2008',2
'toronto',2
'trip hop',2
'tropical',2
'twee',2
'underground rap',2
'uplifting',2
'urban',2
'wonky',2
'world',2
"u""drum'n'bass""",2
'',1
'-fly away-',1
'1818',1
'1999',1
'2-step',1
'2000s',1
'2008',1
'2013 single',1
'2013',1
'2014',1
'21st century rock',1
'2k11',1
'2k9 mix',1
'3',1
'4',1
'5',1
'60s garage',1
'678-74-311-75',1
'8-bit',1
'a a',1
'a good day',1
'abstract hip hop',1
'abstract',1
'acoustic dreams',1
'acoustic rhythm piano',1
'addictive',1
'adversity',1
'aesop rock',1
'africa',1
'afro pop',1
'again',1
'aitchawake',1
'aitchepic',1
'alternative dance',1
'alternative folk',1
'alternative indie',1
'alternative pop',1
'alternative reggaeton',1
'amazing cover',1
'ambition',1
'amerika',1
'angry',1
'angus house party',1
'animal kingdom',1
'ansiedade',1
'apple',1
'arcade fire',1
'art punk',1
'assssssssid',1
'athens',1
'atmosphere',1
'atrocious cover',1
'audio video disco',1
'audioeric-fm-cover',1
'august 2011',1
'aussie',1
'austin',1
'australia',1
'avant garde',1
'awake',1
'awesome :o',1
'awesome production',1
'baby monster',1
'baby',1
'back and forth',1
'backstreet boys',1
'bad boy records',1
'bad piano player',1
'badass',1
'badly drawn boy',1
'balkan',1
'band of horses',1
'bands we like',1
'banger',1
'banjo',1
'bass guitar',1
'bbe',1
'beach rock',1
'beastie boys',1
'beat',1
'beautiful lyrics',1
'bedroom dancing',1
'beirut',1
'belgian',1
'berkeley',1
'best cover version',1
'best memories',1
'best of 2008-9',1
'best of',1
'best played loud',1
'best song ever',1
'better than original',1
'bitch house',1
'bitch music',1
'bittersweet',1
'blackmill',1
'blip-hop',1
'blonde women',1
'bloodshot records',1
'bloodshot',1
'blue sky days',1
'blur',1
'boii boii',1
'bombelki',1
'bon iver',1
'bonnarooooooooo',1
'bootie mashup dj',1
'bootie mashup',1
'bootie',1
'boston',1
'bouncin around boombox',1
'bout',1
'boys noize',1
'brazilian',1
'break up songs',1
'breakbeat',1
'breakcore',1
'breakfast',1
'brett lane',1
'brillian',1
'brilliant gibberish',1
'brit rock',1
'british i like',1
'britney spears',1
'brujahton',1
'bruno mars',1
'buen humor',1
'bump this shit',1
'bump',1
'ca',1
'calm',1
'calvin harris',1
'campfire',1
'canadian hip hop',1
'candidate',1
'cant-con',1
'carefree',1
'carmelsoulsista',1
'carpark',1
'catchy as shit',1
'catchy beat',1
'chairlift',1
'chamber pop',1
'champaign-urbana',1
'chancer',1
'chanting',1
'cheating',1
'check out again',1
'cheerful',1
'chi towns finest',1
'chi-town',1
'chiclete',1
'chiddy bang',1
'childhood',1
'chill as fuck',1
'chilled',1
'christmas',1
'chromeo',1
'chuck',1
'city',1
'cj milli',1
'clap',1
'claps',1
'classic',1
'climbing',1
'club misfits',1
'club music',1
'coachella',1
'cockney thug',1
'collaborations',1
'come on winter',1
'comedy',1
'completely unique',1
'conor oberst',1
'contemporary r&b',1
'cool beat',1
'cool down',1
'cosmic dubstep',1
'country folk indie',1
'cover version',1
'coverongs',1
'cow punk',1
'cowpunk',1
'crank it up',1
'crooked colours',1
'crystal castles',1
'cut copy',1
