tag,total,tag_true_rate
'-fly away-',1,0.00240963855422
'00s',14,0.033734939759
'11',2,0.00481927710843
'1999',1,0.00240963855422
'2-step',1,0.00240963855422
'2008',1,0.00240963855422
'2009',12,0.0289156626506
'2010s',18,0.0433734939759
'2011',8,0.0192771084337
'2012',1,0.00240963855422
'21st century rock',1,0.00240963855422
'2k11',1,0.00240963855422
'2k9 mix',1,0.00240963855422
'3',1,0.00240963855422
'4',1,0.00240963855422
'60s',5,0.0120481927711
'678-74-311-75',1,0.00240963855422
'70s',3,0.00722891566265
'8-bit',1,0.00240963855422
'80s',1,0.00240963855422
'90s',4,0.00963855421687
'a a',1,0.00240963855422
'a good day',1,0.00240963855422
'abstract hip hop',1,0.00240963855422
'acerbic',1,0.00240963855422
'acid',1,0.00240963855422
'acoustic dreams',1,0.00240963855422
'acoustic rhythm piano',1,0.00240963855422
'acoustic',19,0.0457831325301
'addictive',1,0.00240963855422
'adversity',1,0.00240963855422
'aesop rock',1,0.00240963855422
'afro pop',1,0.00240963855422
'aitch',3,0.00722891566265
'aitchawake',1,0.00240963855422
'aitchchill',2,0.00481927710843
'aitchknight',2,0.00481927710843
'aitchrap',1,0.00240963855422
'aitchsonic',2,0.00481927710843
'alt country',3,0.00722891566265
'alt-country',26,0.0626506024096
'alternative hip hop',2,0.00481927710843
'alternative indie',1,0.00240963855422
'alternative rap',7,0.0168674698795
'alternative reggaeton',1,0.00240963855422
'alternative rock',11,0.0265060240964
'alternative',63,0.151807228916
'amazing cover',1,0.00240963855422
'amazing',2,0.00481927710843
'ambient',7,0.0168674698795
'ambition',1,0.00240963855422
'american',8,0.0192771084337
'americana',17,0.0409638554217
'amerika',1,0.00240963855422
'angus house party',1,0.00240963855422
'animals',1,0.00240963855422
'ansiedade',1,0.00240963855422
'apple',1,0.00240963855422
'arcade fire',1,0.00240963855422
'atmosphere',1,0.00240963855422
'atrocious cover',1,0.00240963855422
'audioase',2,0.00481927710843
'audioeric-fm-cover',1,0.00240963855422
'aussie',1,0.00240963855422
'australian',6,0.0144578313253
'avant garde',1,0.00240963855422
'awesome :o',1,0.00240963855422
'awesome',10,0.0240963855422
'baby',1,0.00240963855422
'back and forth',1,0.00240963855422
'bad boy records',1,0.00240963855422
'bad piano player',1,0.00240963855422
'badly drawn boy',1,0.00240963855422
'balkan',1,0.00240963855422
'band of horses',1,0.00240963855422
'banger',1,0.00240963855422
