artist,loved_count,mediaid,posted_count,sitename,time,title,loved,artist_index_mod,site_index_mod
Zimmer,1972,2c369,11,umstrum||music,256,Heartbreak Reputation (feat. Polina),False,0.0,0.0
Meek Mill,1437,2c3b0,1,House of Lords,199,R.I.C.O feat. Drake,False,0.0,0.0
flor,2296,2c135,11,Indietronica,246,warm blood,False,0.0,0.0
Atlas Genius,1801,2c0ff,6,Inthejunkyardmusic,249,Molecules,False,0.0,0.0
Robyn,3729,2c3tm,5,acid stag,215,Call Your Girlfriend (Thero & Taylor Wise Remix) (Feat. Allison Weiss),False,0.0,0.0
GIBBZmusic,1030,2c12f,15,CLICK AND LISTEN IT,211,I Found You,False,0.0,0.0
KAPTAN,1695,2c05m,16,The Burning Ear,242,Anywhere We Go,False,0.0,0.0
Oh Wonder,5698,2c48m,17,The New LoFi,208,Landslide,False,0.0,0.714285714286
Klyne,6135,2c09d,21,Oh My Rock,187,Paralyzed,True,0.0,0.0
Dillon Francis,2752,2c2wx,6,Waxhole,193,Bruk Bruk (I Need Your Lovin),False,0.0,0.0
The Knocks,13736,15sj5,41,SFCritic,239,Dancing With The Dj,True,0.3,0.5
The Knocks,1942,2bamw,11,EDM Girl,327,Classic (Pat Lok Shymix),True,0.3,0.0
PHFAT & Al Bairre,210,2c3hh,1,Indie Shuffle,211,Caviar Dreams,False,0.0,0.0
pools,384,2a90h,3,Delicieuse Musique,129,☕ coffee in the morning ☕,False,0.0,0.0
Toro y Moi,463,2c2fa,16,Noonday Tune,93,That Instead of This,False,0.0,0.0
I'lls,685,2c1kb,15,ilovepie,246,Keep,False,0.0,0.0
Doe Paoro,486,2b8vq,8,Northern Transmissions,246,The Wind (feat. Adam Rhodes),False,0.0,0.0
Lawrence Taylor,3505,2bw9n,7,EUPHORIA. Magazine,184,Bang Bang,False,0.0,0.0
One T & Cool T,904,2bxam,5,Silence Nogood,232,The Magic Key (LeMarquis & FAB Remix),False,0.0,0.0
Amen Dunes,871,22ksd,47,Fuzzy Logic,319,Lonely Richard,False,0.0,0.0
Tame Impala,4703,23383,54,Silence Nogood,274,Stranger In Moscow(( MJ cover)),True,0.0,0.5
Crooked Colours,4364,2bt0t,7,Wonky Sensitive,229,Electric Feel (MGMT Cover),True,1.0,0.0
ZEDD feat. Selena Gomez,1315,2bxcb,3,Music You Wanna Listen To,242,I Want You To Know (Steve James Remix),False,0.0,0.0
Wolf Alice,2690,2asey,40,Turntable Kitchen,225,Bros,False,0.0,0.0
Panda Bear,704,2c1g8,15,surviving the golden age,211,Crosswords (Pete Rock Remix),False,0.0,0.0
Wavves X Cloud Nothings,299,2c321,12,Noonday Tune,200,No Life For Me,False,0.0,0.0
Michael Calfan,1109,2c14y,6,Inyourspeakers Media,254,Mercy (Original Mix),False,0.0,0.0
BAILE,1426,2c09y,9,CLICK AND LISTEN IT,296,Matter (feat. Felicia Douglass),False,0.0,0.0
Robyn,1420,2c3ac,5,Music You Wanna Listen To,271,Dancing On My Own (Templeton Remix),True,0.0,0.0
Toro y Moi,1099,2c1d3,23,acid stag,189,2Late feat. Kool A.D. and SAFE,True,0.0,0.0
Ty Dolla $ign,1794,2c24a,11,Pitchfork,286,Blasé feat. Future & Rae Sremmurd,False,0.0,0.0
FETTY WAP,1214,2c41v,8,Abouttoblow,263,D.A.M DATS ALL ME,True,0.0,0.0
A$AP Rocky,3923,2c367,2,Dancing Astronaut,292,LSD (Shemce Remix),False,0.0,0.0
Alesso,3312,2c389,4,stereogum,191,This Summer's Gonna Hurt Like A Mother F****r (Alesso Remix) (Radio Edit),True,0.0,0.0
Tame Impala,961,2ahss,1,Indie Shuffle,243,Cause I'm A Man,False,0.0,0.666666666667
Black Rebel Motorcycle Club,2666,zjt7,34,Shelter From the Norm,226,Beat The Devil's Tattoo,False,0.0,0.0
The Besnard Lakes,604,yqkf,110,scruffy the yak,282,Albatross,False,0.0,0.0
RL Grime,3547,25hg1,14,buffaBLOG,237,Core,False,0.0,0.0
Gallant,5944,2c3pf,28,Anotherwhiskyformisterbukowski,204,Weight In Gold,True,0.0,0.0
Jack Garratt,4317,2c3mc,25,chillsoundsgoodmusic,225,Weathered,True,0.0,0.0
Matrimony,2323,29gay,9,Audio Aquarium,260,Giant (Ghosts Remix),False,0.0,0.0
Real Estate,1060,21rvk,38,Fuzzy Logic,192,Talking Backwards,True,0.0,0.0
Natalie Prass,732,27cmn,24,The Swollen Fox,213,Why Don't You Believe In Me,False,0.0,0.0
Father John Misty,1490,27msa,44,2 U I Bestow,262,Bored In The USA,True,0.0,0.0
Hibou,2006,2bmqa,22,barrygruff,259,Dissolve,True,0.0,0.0
Billy Bragg & Wilco,1093,30xf,27,Across The Kitchen Table,298,California Stars,True,0.0,0.0
Blitzen Trapper,2888,k47r,64,scruffy the yak,209,Black River Killer,False,0.0,0.0
Damien Jurado,2019,20jv6,38,The Swollen Fox,198,Silver Timothy,False,0.0,0.0
Lana Del Rey,4425,2b5c3,3,Oh My Rock,277,Born To Die (Absence Remix),True,0.0,0.666666666667
Metric,2324,v55s,9,i (heart) music,187,Don't Think Twice It's Alright (Bob Dylan Cover),True,0.666666666667,0.0
Tame Impala,700,2atnn,4,barrygruff,247,Cause I'm a Man,False,0.0,0.0
Unknown Mortal Orchestra,518,2aade,8,Cause=Time,192,Multi-Love (20syl Remix),False,0.0,0.5
Sinkane,1891,24y1z,31,JayeL Audio Music,197,Hold Tight,False,0.0,0.0
Unknown Mortal Orchestra,7944,29adb,84,umstrum||music,251,Multi-Love,False,0.0,0.0
Temples,1441,20jvd,49,We All Want Someone To Shout For,222,Mesmerise,False,0.0,0.0
Tame Impala,12229,2a1mf,87,The Swollen Fox,469,Let It Happen,False,0.0,0.0
Unknown Mortal Orchestra,3887,2avcn,65,Too Many Blogs,257,Can't Keep Checking My Phone,False,0.0,0.0
Blue Hawaii,1467,27ams,15,What Else Is There?,264,Get Happy,False,0.0,0.0
Cheers Elephant,5361,2bfxf,10,EUPHORIA. Magazine,212,Airliner,True,0.0,0.0
Major Lazer,10138,227j1,23,Maddecent,182,Aerosol Can (feat. Pharrell Williams),True,0.0,0.0
The Knocks,21782,25xk6,27,SFCritic,249,Classic (feat. Powers),True,0.3,0.5
Oliver,8614,26gx7,13,JayeL Audio Music,344,Light Years Away,False,0.0,0.0
Chet Faker,2614,2bwyg,22,HEY,206,Bend,False,0.0,0.0
Skylar Spence,1316,2bwjt,27,Felinno,246,Can't You See,False,0.0,0.0
Toro y Moi,1368,2btxp,8,acid stag,145,room for 1zone,False,0.0,0.0
Cayucas,744,2b1kk,27,Indie is not a genre,218,Moony Eyed Walrus,True,0.0,0.0
Ducktails,1372,2b5et,30,newmusic.cz,214,Headbanging In The Mirror,True,0.0,0.0
Lapalux,3549,29q40,25,music is art,349,Don't Mean A Thing,False,0.0,0.0
Vaults,1538,27nrm,12,Little Indie Blogs,204,Poison,False,0.0,0.0
Toro Y Moi,1801,28ykp,43,KEXP Blog,222,Empty Nesters,False,0.0,0.0
ON AN ON,1463,2bnef,8,The Burning Ear,227,It's Not Over (The Twelves Remix),False,0.0,0.0
Lower Dens,1994,1hcvp,132,MUSIC BETWEEN FRIENDS,302,Brains,False,0.0,0.0
The Knocks,6766,1t7dh,7,aerial noise,276,The Feeling (Dave Edwards Remix),False,0.3,0.0
K-Os,6058,r65a,13,Music For Kids Who Can't Read Good,190,I Wish I Knew Natalie Portman,True,1.0,1.0
The Knocks,4731,29s5a,19,JayeL Audio Music,250,Dancing With Myself,False,0.3,0.222222222222
The Knocks,3975,2aews,10,JayeL Audio Music,197,Collect My Love feat. Alex Newell,False,0.3,0.222222222222
The Knocks,8641,2654z,11,Site of Sound,262,Classic (RAC Mix),True,0.3,0.5
Santigold,1242,trz4,5,Et Musique Pour Tous,112,I'm a Lady (Benny Blanco Remix),False,0.0,0.4
HONNE,1993,2b5tf,14,Musicgeeks,272,Top To Toe,False,0.0,0.0
The Knocks,6380,1696z,20,Berkeley Place,219,Dancing With The DJ (Chiddy Bang Remix),False,0.3,0.363636363636
Flume,10604,2bk4b,20,Stereofox,264,Some Minds feat. Andrew Wyatt,False,0.0,0.0
Flight Facilities,6137,2bzvm,10,NNM,199,Heart Attack feat. Owl Eyes (Snakehips Remix),False,0.0,0.0
Major Lazer,8997,2bzkc,2,Never Radio,194,Too Original (KREAM Remix),False,0.0,0.0
Aayushi & Dillistone,5645,2bz99,6,Musicgeeks,237,Diamond Child,False,0.0,0.0
POWERS,9067,2ba6t,31,blahblahblahscience,205,Beat Of My Drum,False,0.0,0.0
Blackbear,6281,2b9ng,6,Stoney Roads,278,90210 feat. G-Eazy (Matt DiMona Remix),False,0.0,0.0
filous,11555,2bd2b,10,My Old Kentucky Blog,198,How Hard I Try feat. James Hersey,False,0.0,0.0
L'Orange & Jeremiah Jae,4530,2ax54,9,Lautstark,171,All I Need (feat. Gift Of Gab),False,0.0,0.0
kiiara,11727,2bxjv,18,said the gramophone,226,Gold,False,0.0,0.0
Soma,291,2c2et,5,Different Kitchen,198,Uncertain,False,0.0,0.0
Miguel,15868,228mk,23,Site of Sound,205,Simplethings,True,0.0,0.0
Rudimental,14952,21hnn,6,EARMILK,305,Free (Cash Cash X Gazzo Remix),False,0.0,0.0
EMBRZ,9428,1y3jj,12,nialler9,284,Slow Down,False,0.0,0.0
Wale,5818,t8q4,7,The Music Ninja,211,New Soul Feat. Yael Naim,False,0.75,0.615384615385
TEEMID & Daniela Andrade,9479,226ye,8,I Heart Moosiq,263,Crave You (Flight Facilities Cover),True,0.0,0.0
•◊ Hopium ◊•,3795,2b5pr,9,Stereofox,218,Right Now,False,0.0,0.0
The Chainsmokers,5152,2b9jx,6,EDM Girl,253,Let You Go (Steve James Remix),False,0.0,0.0
