artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
DMX,1436982689,1,2cb3a,1,Inyourspeakers Media,210,Ruff Rider Anthem,hiphop
Natural Self,1436993363,1,2cb8v,1,Burl Veneer's Music Tumblr,429,O Superman,hiphop
KAYTRANADA,1436965234,6332,293cn,42,The 405,243,Drive Me Crazy (feat. Vic Mensa),hiphop
John River,1436968581,24,2cazd,1,Different Kitchen,213,Get Down(Produced by FrancisGotHeat),hiphop
SKEPTA,1436965241,477,29trh,21,The 405,188,SHUTDOWN,hiphop
CoryaYo,1436965217,0,2cay6,1,The 405,212,realclose.hrd4me,hiphop
Miracle,1436966101,5,2cayj,1,Louder Than War,332,Strange Taste,hiphop
The Game,1436960989,937,2c3b2,3,One A Day,343,100,hiphop
Copywrite,1436961016,2,2cax4,1,The Revue,180,VII. Philophobia,hiphop
SKEPTA,1436996147,18,2cb78,5,Exclaim!,253,Ojuelegba Remix feat. Drake & Skepta,hiphop
Capone-N-Noreaga,1436996156,0,2cb9v,1,nah right,256,U.M.A.R (feat.Tragedy),hiphop
Lil Wayne,1436994023,11,2cb93,1,Pigeons and Planes,235,London Roads,hiphop
Drake,1436996144,570,2c9sz,9,nah right,282,Know Yourself (Jacques Greene intro edit),hiphop
Robb Bank$,1436985408,17,2c90p,2,Discobelle,149,1 In The Head,hiphop
Rich The Kid,1436996129,1,2cb9p,1,nah right,117,Where The Cash AT (Prod By Hit Boy),hiphop
Zhigge,1436996122,0,2cb9m,1,raidersofthelosttrack,213,"Riddles That Rap, Riddles That Rhyme",hiphop
Ta-ku,1436982972,4536,2c7sr,11,gottadancedirty,216,Down For You feat. Alina Baraz,hiphop
Fetty Wap,1436982879,4,2cb02,2,Ants in My Trance,220,My Way (Murlo Remix feat. Gemma Dunleavy),hiphop
Muneshine,1436986196,39,2c9k9,2,Exclaim!,253,Majid Jordan | My Love {w/ Drake} {Muneshine Remix},hiphop
ACTION BRONSON,1436965247,14581,29vjw,45,The 405,280,Baby Blue feat. Chance The Rapper (Prod. Mark Ronson),hiphop
ZZ Ward,1436911256,62,2c8qy,5,robot dance music,248,LOVE 3X (AObeats Remix),hiphop
Groszek,1436920101,15,2canm,1,acid stag,244,Your Eyes,hiphop
The Boy Illinois,1436906647,2,2cahj,1,Fake Shore Drive,163,Piece of Mind (Prod. Xcel),hiphop
Rocky Diamonds,1436906658,8,2cahn,1,Fake Shore Drive,216,All Night (Prod. By Komo Beatz),hiphop
Obey City,1436900441,5,2caf6,1,Modular Magazine,193,Cloud Lust,hiphop
Chris Webby,1436898954,10,2caet,1,Boi-1da,184,Vibe 2 It (feat. Sap),hiphop
Oddisee,1436909309,8899,2a3c9,31,Abduction Radiation,246,That's Love,hiphop
Dead Obies,1436895019,4,2cadq,1,Le Soundrivin,246,Jelly (Single Version),hiphop
Christian Rich,1436896145,54,2bx57,10,Okayafrica,265,"Compromise (Feat Sinead Harnett, Gold Link & Secaina Hudson)",hiphop
SignA,1436958855,0,2cavw,1,The Last Mixed Tape,228,Lines,hiphop
Tree,1436960956,6,2caa7,2,GRANDGOOD,161,Bat Shit Prod By Dirty Dunnz,hiphop
Sleaford Mods,1436955675,97,2ax11,16,Escafandrista Musical,204,Face To Faces,hiphop
The KickDrums,1436960528,20,2c36a,3,The Wild Honey Pie,217,Better,hiphop
TYPHOON,1436945337,0,2carz,1,Happy Days Are Here Again,208,Prosthetic Love (Piano Version),hiphop
K-OS,1436952948,513,2c856,4,Anotherwhiskyformisterbukowski,197,Crucify,hiphop
ONEDAE,1436936424,5,2caqs,1,Different Kitchen,289,JOHN MACKENFLOW Feat Sean Price,hiphop
Nosaj Thing,1436938530,2556,29x4n,43,Spectrum Culture,173,Cold Stares feat. Chance The Rapper,hiphop
Young Chris,1436923283,5,2cap0,1,nah right,216,SOUL,hiphop
Hermitude,1436930896,442,2c9xp,5,Prefix Magazine,205,The Buzz feat. Mataya & Young Tapz (Sweater Beats Remix),hiphop
Flip Major,1436904880,2,2cagj,1,nah right,208,Flpi Major - DeepEnd Mix v2.0,hiphop
Ty Money,1436837295,4,2c9zr,1,Fake Shore Drive,223,Later On,hiphop
El Gant,1436869687,2,2ca3h,1,Word Is Bond,214,Raw - Prod by 42 Keez,hiphop
G-EAZY,1436835615,127,2c9sh,2,The Smoking Section,177,Oh Well,hiphop
G-EAZY,1436835611,112,2c9z6,1,The Smoking Section,243,Running feat. Gabriel Garzón-Montano,hiphop
Alif,1436816954,2,2c9v2,1,beehype,248,Holako (Hulagu) الألف - هولاكو,hiphop
Vanilla,1436814030,23,2c9h6,2,One For The People,270,Little Lies,hiphop
King Mez,1436817375,14,2c9vb,1,Boi-1da,107,Beats One Radio Freestyle feat. Dr. Dre (Prod. by Cardiak),hiphop
Sleepy,1436812528,1,2c9s5,1,Don't Need No Melody,169,Anger Lines,hiphop
Sleepy,1436812535,3,2c9s6,1,Don't Need No Melody,163,Clichés,hiphop
G-Eazy,1436894125,203,2c4dq,3,Boi-1da,211,You Got Me,hiphop
G-Eazy,1436894116,304,2c4dr,2,Boi-1da,243,Running,hiphop
