artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title
Thundercat,1436454504,4024,2by09,60,The Swollen Fox,187,Them Changes
Drake,1436721667,1590,2c964,3,stereogum,245,Sweeterman (Remix)
Fareoh,1436568987,877,2c8z5,6,Kick Kick Snare,323,Fight For You (feat. Ethan Thompson)
cln,1436578939,1105,2c73k,9,Indie Music Filter,210,Found
Tame Impala,1426107404,12895,2a1mf,89,BrooklynVegan,469,Let It Happen
Jabberwocky,1436826930,603,29q4n,2,Indie Shuffle,198,Pola (The Geek X Vrv Remix)
fine print,1436561827,646,2c6nn,8,Wonky Sensitive,212,About You
Drake,1436894941,372,2c9sz,6,Exclaim!,282,Know Yourself (Jacques Greene intro edit)
Holy Holy,1436519652,686,2c8dr,7,Happy,256,Sentimental And Monday
kiiara,1436539069,4722,2c8bm,4,Waxhole,225,Gold (Hippie Sabotage Remix)
Giraffage & Viceroy,1436632507,4239,2c8y2,10,CLICK AND LISTEN IT,216,Impression Of You (feat. Patrick Baker)
Laurel,1436556519,3030,2c718,17,blahblahblahscience,236,Blue Blood
Majid Jordan,1436582945,3157,2c8tv,15,Radiorgasm,249,My Love feat. Drake
Gordi,1436311689,1790,2c6s3,16,Kick Kick Snare,261,Can We Work It Out
Maximum Balloon feat Karen O & Tunde Adebimpe,1436558849,1945,2c8mh,16,Chart Attack,371,LET IT GROW
Robyn,1435617774,2809,2c3ac,6,Lipstick Disco,271,Dancing On My Own (Templeton Remix)
Lane 8,1436835641,2945,2bmpt,9,acid stag,287,Hot As You Want feat. Solomon Grey
Sundara Karma,1436882184,938,2c9pg,7,Human Drizzle,263,Flame (Roosevelt Remix)
Surfer Blood,1436537679,2522,2c86x,7,DIY,250,'Hey Ya!'
Toro y Moi,1436469264,1531,2c7nh,24,stereogum,170,Pitch Black feat. Rome Fortune
Thundercat,1434648598,4024,2by09,60,Faded Arrow,187,Them Changes
Drake,1436792577,1590,2c964,3,Chart Attack,245,Sweeterman (Remix)
Fareoh,1436934513,877,2c8z5,6,Beautiful Buzzz,323,Fight For You (feat. Ethan Thompson)
cln,1436315324,1105,2c73k,9,acid stag,210,Found
Tame Impala,1426084139,12895,2a1mf,89,Too Many Blogs,469,Let It Happen
Jabberwocky,1436826930,603,29q4n,2,Indie Shuffle,198,Pola (The Geek X Vrv Remix)
fine print,1436345344,646,2c6nn,8,Pause Musicale,212,About You
Drake,1436858490,372,2c9sz,6,SERIALGK,282,Know Yourself (Jacques Greene intro edit)
Holy Holy,1436885548,686,2c8dr,7,EUPHORIA. Magazine,256,Sentimental And Monday
kiiara,1436894930,4722,2c8bm,4,Dancing Astronaut,225,Gold (Hippie Sabotage Remix)
Giraffage & Viceroy,1436632507,4239,2c8y2,10,CLICK AND LISTEN IT,216,Impression Of You (feat. Patrick Baker)
Laurel,1436376237,3030,2c718,17,chillsoundsgoodmusic,236,Blue Blood
Majid Jordan,1436558852,3157,2c8tv,15,Chart Attack,249,My Love feat. Drake
Gordi,1436286486,1790,2c6s3,16,PressPLAY,261,Can We Work It Out
Maximum Balloon feat Karen O & Tunde Adebimpe,1436544896,1945,2c8mh,16,Consequence of Sound,371,LET IT GROW
Robyn,1435617774,2809,2c3ac,6,Lipstick Disco,271,Dancing On My Own (Templeton Remix)
Lane 8,1433200061,2945,2bmpt,9,Beautiful Buzzz,287,Hot As You Want feat. Solomon Grey
Sundara Karma,1436814887,938,2c9pg,7,Scientists of Sound,263,Flame (Roosevelt Remix)
Surfer Blood,1436520635,2522,2c86x,7,Stereofox,250,'Hey Ya!'
Toro y Moi,1436451705,1531,2c7nh,24,The Fader,170,Pitch Black feat. Rome Fortune
Ratatat,1434494529,6275,2bwhp,11,acid stag,254,Abrasive
Day Wave,1436901264,174,2ca8d,9,Indie Music Filter,272,Headcase
Trails and Ways,1436392169,542,2c71y,7,Abduction Radiation,319,Downright feat. Harriet Brown (Falcon Punch Remix)
filous,1436899915,111,2caey,1,Dancing Astronaut,259,Better Off feat. Josh Roa & Bishøp
Chelsea Wolfe,1436376229,350,2c7ew,16,Recommended Listen,336,After the Fall
Awon & Phoniks,1378763893,330,1z3v2,2,Hilly Dilly,208,Escaping Youth
Saint Motel,1436894986,145,2ca8z,2,Kick Kick Snare,226,Cold Cold Man (Lost Kings Remix)
Roy Wood$,1436664065,369,2c96b,6,The Fader,240,Drama Feat. Drake
cln,1432764892,3342,2bhrp,13,Kick Kick Snare,226,Left Behind
Jamie XX,1436630825,741,2c93r,7,alltomorrowmusic,252,Loud Places (John Talabot Remix)
BECOME X XYLO,1436469296,658,2c88g,8,ilovepie,168,Between The Devil & The Deep Blue Sea
Disclosure,1436110926,1191,2c5m5,22,The House of Coxhead,394,Holding On (Julio Bashmore's Elevated Mix)
Lane 8,1436384204,715,2c7mp,7,House of Lords,288,Undercover feat. Matthew Dear
K-OS,1436952948,379,2c856,4,Anotherwhiskyformisterbukowski,197,Crucify
Hermitude,1436894902,310,2c9xp,5,Dancing Astronaut,205,The Buzz feat. Mataya & Young Tapz (Sweater Beats Remix)
Little Boots,1430931629,3046,2b5nt,28,FACT,203,Better In The Morning
Ought,1436305048,600,2c6pn,31,Chart Attack,464,Beautiful Blue Sky
Keyes,1436607726,3123,2bcvj,23,chillsoundsgoodmusic,228,Veins
Hot Chip,1436572156,326,2c8za,5,THUMP,375,Need You Now (Moonlight Matters remix)
Class Actress,1436886092,267,2c9yf,4,Music You Wanna Listen To,276,GFE (SNBRN Remix)
Elohim,1432142504,3168,2beg0,25,Pick Up The Headphones,224,She Talks Too Much
Maribou State,1436885556,316,2bct5,16,Decoder Magazine,223,Wallflower
Modjo,1353920165,4363,1rf0g,17,Salacious Sound,283,Lady (Kaytranada Remix)
Mabel,1436875262,103,2ca1j,16,alltomorrowmusic,230,Know Me Better
CocoRosie,1436700489,263,2c8qa,9,Cast the Dice,214,heartache city (live)
Flamingosis,1435631712,285,2c3c4,2,Pilerats,163,Finesse (Hey Baby)
Groove Armada,1436707275,123,2c990,2,Dancing Astronaut,195,Paris (andhim Remix) (Little Black Book)
Public Service Broadcasting,1436797311,229,298j8,16,EUPHORIA. Magazine,380,The Other Side
ZZ Ward,1436660886,165,2c860,5,West Coast Fix,258,LOVE 3X (R3HAB Mix)
Jasmine Thompson,1436881343,119,2c9tw,3,Jump Into Limbo,242,Adore (Addal Remix)
