artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title
Thundercat,1434664208,4026,2by09,60,Apes on Tape,187,Them Changes
Drake,1436792577,1590,2c964,3,Chart Attack,245,Sweeterman (Remix)
Fareoh,1436760845,879,2c8z5,6,Waxhole,323,Fight For You (feat. Ethan Thompson)
cln,1436863870,1106,2c73k,9,SERIALGK,210,Found
Tame Impala,1436797307,12896,2a1mf,89,MusikBlog,469,Let It Happen
Jabberwocky,1436826930,605,29q4n,2,Indie Shuffle,198,Pola (The Geek X Vrv Remix)
fine print,1436345344,647,2c6nn,8,Pause Musicale,212,About You
Drake,1436816129,372,2c9sz,6,UNCANNY,282,Know Yourself (Jacques Greene intro edit)
Holy Holy,1436730554,686,2c8dr,7,mapambulo,256,Sentimental And Monday
kiiara,1436619697,4726,2c8bm,4,Stereofox,225,Gold (Hippie Sabotage Remix)
Giraffage & Viceroy,1436632507,4243,2c8y2,10,CLICK AND LISTEN IT,216,Impression Of You (feat. Patrick Baker)
Laurel,1436556519,3032,2c718,17,blahblahblahscience,236,Blue Blood
Majid Jordan,1436554826,3160,2c8tv,15,nah right,249,My Love feat. Drake
Gordi,1436777349,1794,2c6s3,16,Sonofmarketing,261,Can We Work It Out
Maximum Balloon feat Karen O & Tunde Adebimpe,1436544896,1948,2c8mh,16,Consequence of Sound,371,LET IT GROW
Robyn,1435629011,2809,2c3ac,6,Beautiful Buzzz,271,Dancing On My Own (Templeton Remix)
Lane 8,1433184221,2946,2bmpt,9,Last Gas Station,287,Hot As You Want feat. Solomon Grey
Sundara Karma,1436902123,938,2c9pg,7,Drums Eat Everything,263,Flame (Roosevelt Remix)
Surfer Blood,1436537679,2524,2c86x,7,DIY,250,'Hey Ya!'
Toro y Moi,1436469770,1532,2c7nh,24,KEXP Blog,170,Pitch Black feat. Rome Fortune
Thundercat,1435010857,4026,2by09,60,Poetry in an Empty Coke Can,187,Them Changes
Drake,1436721667,1590,2c964,3,stereogum,245,Sweeterman (Remix)
Fareoh,1436755750,879,2c8z5,6,POP ON AND ON,323,Fight For You (feat. Ethan Thompson)
cln,1436315324,1106,2c73k,9,acid stag,210,Found
Tame Impala,1426028447,12896,2a1mf,89,alltomorrowmusic,469,Let It Happen
Jabberwocky,1424796203,605,29q4n,2,GobeMonSax,198,Pola (The Geek X Vrv Remix)
fine print,1436611751,647,2c6nn,8,Sonofmarketing,212,About You
Drake,1436813420,372,2c9sz,6,DIVE,282,Know Yourself (Jacques Greene intro edit)
Holy Holy,1436870527,686,2c8dr,7,Some Candy Talkin',256,Sentimental And Monday
kiiara,1436477982,4726,2c8bm,4,robot dance music,225,Gold (Hippie Sabotage Remix)
Giraffage & Viceroy,1436795774,4243,2c8y2,10,Waxhole,216,Impression Of You (feat. Patrick Baker)
Laurel,1436380932,3032,2c718,17,Wonky Sensitive,236,Blue Blood
Majid Jordan,1436554826,3160,2c8tv,15,nah right,249,My Love feat. Drake
Gordi,1436295545,1794,2c6s3,16,Free Indie,261,Can We Work It Out
Maximum Balloon feat Karen O & Tunde Adebimpe,1436557432,1948,2c8mh,16,KEXP Blog,371,LET IT GROW
Robyn,1435629011,2809,2c3ac,6,Beautiful Buzzz,271,Dancing On My Own (Templeton Remix)
Lane 8,1433261669,2946,2bmpt,9,Minneapolis Fucking Rocks,287,Hot As You Want feat. Solomon Grey
Sundara Karma,1436882446,938,2c9pg,7,Last Gas Station,263,Flame (Roosevelt Remix)
Surfer Blood,1436466117,2524,2c86x,7,Exclaim!,250,'Hey Ya!'
Toro y Moi,1436462061,1532,2c7nh,24,nah right,170,Pitch Black feat. Rome Fortune
Ratatat,1434624548,6275,2bwhp,11,Noonday Tune,254,Abrasive
Day Wave,1436889044,174,2ca8d,9,Stereofox,272,Headcase
Trails and Ways,1436392169,542,2c71y,7,Abduction Radiation,319,Downright feat. Harriet Brown (Falcon Punch Remix)
filous,1436899915,111,2caey,1,Dancing Astronaut,259,Better Off feat. Josh Roa & Bishøp
Chelsea Wolfe,1436547411,350,2c7ew,16,Jonk Music,336,After the Fall
Awon & Phoniks,1378763893,330,1z3v2,2,Hilly Dilly,208,Escaping Youth
Saint Motel,1436886085,147,2ca8z,2,Music You Wanna Listen To,226,Cold Cold Man (Lost Kings Remix)
Roy Wood$,1436714537,369,2c96b,6,Idolator,240,Drama Feat. Drake
cln,1433315650,3342,2bhrp,13,SERIALGK,226,Left Behind
Jamie XX,1436627658,742,2c93r,7,DIVE,252,Loud Places (John Talabot Remix)
BECOME X XYLO,1436820127,659,2c88g,8,Kick Kick Snare,168,Between The Devil & The Deep Blue Sea
Disclosure,1436204710,1191,2c5m5,22,gottadancedirty,394,Holding On (Julio Bashmore's Elevated Mix)
Lane 8,1436534944,715,2c7mp,7,Do You Like That Song?,288,Undercover feat. Matthew Dear
K-OS,1436790485,379,2c856,4,Word Is Bond,197,Crucify
Hermitude,1436824626,310,2c9xp,5,Kick Kick Snare,205,The Buzz feat. Mataya & Young Tapz (Sweater Beats Remix)
Little Boots,1431437808,3046,2b5nt,28,Indietronica,203,Better In The Morning
Ought,1436316579,600,2c6pn,31,PerfectMidnightWorld,464,Beautiful Blue Sky
Keyes,1436212160,3123,2bcvj,23,mapambulo,228,Veins
Hot Chip,1436572156,326,2c8za,5,THUMP,375,Need You Now (Moonlight Matters remix)
Class Actress,1436886092,267,2c9yf,4,Music You Wanna Listen To,276,GFE (SNBRN Remix)
Elohim,1432296023,3168,2beg0,25,The Revue,224,She Talks Too Much
Maribou State,1432036283,316,2bct5,16,Lautstark,223,Wallflower
Modjo,1381297349,4363,1rf0g,17,Ladywood ,283,Lady (Kaytranada Remix)
Mabel,1436905051,103,2ca1j,16,PASSIØN PARTY,230,Know Me Better
CocoRosie,1436628485,263,2c8qa,9,Oh Fancy!,214,heartache city (live)
Flamingosis,1436714498,285,2c3c4,2,The Smoking Section,163,Finesse (Hey Baby)
Groove Armada,1436707275,123,2c990,2,Dancing Astronaut,195,Paris (andhim Remix) (Little Black Book)
Public Service Broadcasting,1423251358,230,298j8,16,The Revue,380,The Other Side
ZZ Ward,1436741790,167,2c860,5,Dancing Astronaut,258,LOVE 3X (R3HAB Mix)
Jasmine Thompson,1436824609,120,2c9tw,3,Kick Kick Snare,242,Adore (Addal Remix)
