artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title
Thundercat,1434721333,4024,2by09,60,Radio Chantier,187,Them Changes
Drake,1436658972,1590,2c964,3,The Fader,245,Sweeterman (Remix)
Fareoh,1436755750,879,2c8z5,6,POP ON AND ON,323,Fight For You (feat. Ethan Thompson)
cln,1436822056,1105,2c73k,9,Caveman Sound,210,Found
Tame Impala,1426073294,12895,2a1mf,89,Earbuddy,469,Let It Happen
Jabberwocky,1436826930,604,29q4n,2,Indie Shuffle,198,Pola (The Geek X Vrv Remix)
fine print,1436454498,646,2c6nn,8,DIY,212,About You
Drake,1436894941,372,2c9sz,6,Exclaim!,282,Know Yourself (Jacques Greene intro edit)
Holy Holy,1436885548,686,2c8dr,7,EUPHORIA. Magazine,256,Sentimental And Monday
kiiara,1436477982,4725,2c8bm,4,robot dance music,225,Gold (Hippie Sabotage Remix)
Giraffage & Viceroy,1436579775,4240,2c8y2,10,Maddecent,216,Impression Of You (feat. Patrick Baker)
Laurel,1436379275,3031,2c718,17,The 405,236,Blue Blood
Majid Jordan,1436554185,3159,2c8tv,15,stereogum,249,My Love feat. Drake
Gordi,1436305808,1792,2c6s3,16,Scientists of Sound,261,Can We Work It Out
Maximum Balloon feat Karen O & Tunde Adebimpe,1436539823,1945,2c8mh,16,stereogum,371,LET IT GROW
Robyn,1435701541,2809,2c3ac,6,Caveman Sound,271,Dancing On My Own (Templeton Remix)
Lane 8,1434738501,2945,2bmpt,9,Dancing Astronaut,287,Hot As You Want feat. Solomon Grey
Sundara Karma,1436909288,938,2c9pg,7,Abduction Radiation,263,Flame (Roosevelt Remix)
Surfer Blood,1436469773,2523,2c86x,7,KEXP Blog,250,'Hey Ya!'
Toro y Moi,1436455332,1531,2c7nh,24,Consequence of Sound,170,Pitch Black feat. Rome Fortune
Thundercat,1436482575,4024,2by09,60,Pitchfork,187,Them Changes
Drake,1436721667,1590,2c964,3,stereogum,245,Sweeterman (Remix)
Fareoh,1436755750,879,2c8z5,6,POP ON AND ON,323,Fight For You (feat. Ethan Thompson)
cln,1436440464,1105,2c73k,9,PASSIØN PARTY,210,Found
