artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title
Thundercat,1434684499,4021,2by09,60,Niche Music,187,Them Changes
Drake,1436792577,1588,2c964,3,Chart Attack,245,Sweeterman (Remix)
Toro y Moi,1436507785,1529,2c7nh,24,SoulBounce,170,Pitch Black feat. Rome Fortune
cln,1436440464,1103,2c73k,9,PASSIØN PARTY,210,Found
Tame Impala,1426022946,12895,2a1mf,89,Last Gas Station,469,Let It Happen
Holy Holy,1436870527,686,2c8dr,7,Some Candy Talkin',256,Sentimental And Monday
fine print,1436345344,647,2c6nn,8,Pause Musicale,212,About You
Jamie XX,1436834132,740,2c93r,7,ERRANT,252,Loud Places (John Talabot Remix)
Jabberwocky,1424796203,604,29q4n,2,GobeMonSax,198,Pola (The Geek X Vrv Remix)
kiiara,1436477982,4715,2c8bm,4,robot dance music,225,Gold (Hippie Sabotage Remix)
Giraffage & Viceroy,1436632507,4229,2c8y2,10,CLICK AND LISTEN IT,216,Impression Of You (feat. Patrick Baker)
Laurel,1436379275,3024,2c718,17,The 405,236,Blue Blood
Majid Jordan,1436582945,3147,2c8tv,15,Radiorgasm,249,My Love feat. Drake
Gordi,1436286486,1784,2c6s3,16,PressPLAY,261,Can We Work It Out
Maximum Balloon feat Karen O & Tunde Adebimpe,1436558849,1938,2c8mh,16,Chart Attack,371,LET IT GROW
Robyn,1435837753,2804,2c3ac,6,Music You Wanna Listen To,271,Dancing On My Own (Templeton Remix)
Lane 8,1433181516,2939,2bmpt,9,Y Este Finde Que,287,Hot As You Want feat. Solomon Grey
Sundara Karma,1436909288,929,2c9pg,7,Abduction Radiation,263,Flame (Roosevelt Remix)
Surfer Blood,1436469773,2521,2c86x,7,KEXP Blog,250,'Hey Ya!'
Fareoh,1436586128,875,2c8z5,6,gottadancedirty,323,Fight For You (feat. Ethan Thompson)
Thundercat,1434679644,4021,2by09,60,SoulBounce,187,Them Changes
Drake,1436721667,1588,2c964,3,stereogum,245,Sweeterman (Remix)
Toro y Moi,1436458881,1529,2c7nh,24,Inyourspeakers Media,170,Pitch Black feat. Rome Fortune
cln,1436340486,1103,2c73k,9,Pilerats,210,Found
Tame Impala,1426024669,12895,2a1mf,89,Nothing but hope and passion,469,Let It Happen
Holy Holy,1436870527,686,2c8dr,7,Some Candy Talkin',256,Sentimental And Monday
fine print,1436281637,647,2c6nn,8,Cruel Rhythm,212,About You
Jamie XX,1436799371,740,2c93r,7,Punch Magazine,252,Loud Places (John Talabot Remix)
Jabberwocky,1436826930,604,29q4n,2,Indie Shuffle,198,Pola (The Geek X Vrv Remix)
kiiara,1436619697,4715,2c8bm,4,Stereofox,225,Gold (Hippie Sabotage Remix)
Giraffage & Viceroy,1436564125,4229,2c8y2,10,Kick Kick Snare,216,Impression Of You (feat. Patrick Baker)
Laurel,1436478972,3024,2c718,17,The Autumn Roses,236,Blue Blood
Majid Jordan,1436607753,3147,2c8tv,15,Indie Shuffle,249,My Love feat. Drake
Gordi,1436290974,1784,2c6s3,16,Wonky Sensitive,261,Can We Work It Out
Maximum Balloon feat Karen O & Tunde Adebimpe,1436539823,1938,2c8mh,16,stereogum,371,LET IT GROW
Robyn,1435837753,2804,2c3ac,6,Music You Wanna Listen To,271,Dancing On My Own (Templeton Remix)
Lane 8,1433256160,2939,2bmpt,9,Kick Kick Snare,287,Hot As You Want feat. Solomon Grey
Sundara Karma,1436882184,929,2c9pg,7,Human Drizzle,263,Flame (Roosevelt Remix)
Surfer Blood,1436469773,2521,2c86x,7,KEXP Blog,250,'Hey Ya!'
Fareoh,1436934513,875,2c8z5,6,Beautiful Buzzz,323,Fight For You (feat. Ethan Thompson)
Ratatat,1434493686,6275,2bwhp,11,Last Gas Station,254,Abrasive
filous,1436899915,110,2caey,1,Dancing Astronaut,259,Better Off feat. Josh Roa & Bishøp
Keyes,1432069268,3123,2bcvj,23,Scientists of Sound,228,Veins
Day Wave,1436889044,174,2ca8d,9,Stereofox,272,Headcase
Awon & Phoniks,1436722566,330,1z3v2,2,Indie Shuffle,208,Escaping Youth
Class Actress,1436830950,266,2c9yf,4,Yaqui,276,GFE (SNBRN Remix)
Saint Motel,1436886085,144,2ca8z,2,Music You Wanna Listen To,226,Cold Cold Man (Lost Kings Remix)
CocoRosie,1436797287,263,2c8qa,9,Nothing but hope and passion,214,heartache city (live)
Chelsea Wolfe,1436376229,349,2c7ew,16,Recommended Listen,336,After the Fall
Drake,1436816129,370,2c9sz,6,UNCANNY,282,Know Yourself (Jacques Greene intro edit)
BECOME X XYLO,1436469296,657,2c88g,8,ilovepie,168,Between The Devil & The Deep Blue Sea
Disclosure,1436196564,1190,2c5m5,22,Pigeons and Planes,394,Holding On (Julio Bashmore's Elevated Mix)
Lane 8,1436481964,715,2c7mp,7,acid stag,288,Undercover feat. Matthew Dear
K-OS,1436790485,378,2c856,4,Word Is Bond,197,Crucify
Ought,1436301002,600,2c6pn,31,Overblown Webzine,464,Beautiful Blue Sky
Hot Chip,1436686507,325,2c8za,5,Et Musique Pour Tous,375,Need You Now (Moonlight Matters remix)
Hermitude,1436824626,308,2c9xp,5,Kick Kick Snare,205,The Buzz feat. Mataya & Young Tapz (Sweater Beats Remix)
Trails and Ways,1436352585,542,2c71y,7,Do You Like That Song?,319,Downright feat. Harriet Brown (Falcon Punch Remix)
Little Boots,1432255333,3046,2b5nt,28,D SQUARED,203,Better In The Morning
cln,1433118907,3342,2bhrp,13,AWmusic,226,Left Behind
Groove Armada,1436707275,123,2c990,2,Dancing Astronaut,195,Paris (andhim Remix) (Little Black Book)
Mabel,1436948478,103,2ca1j,16,Ja Ja Ja,230,Know Me Better
Jasmine Thompson,1436824609,119,2c9tw,3,Kick Kick Snare,242,Adore (Addal Remix)
Public Service Broadcasting,1424195794,229,298j8,16,HEY,380,The Other Side
Roy Wood$,1436714537,369,2c96b,6,Idolator,240,Drama Feat. Drake
Elohim,1432324818,3168,2beg0,25,The Burning Ear,224,She Talks Too Much
Maribou State,1436885556,316,2bct5,16,Decoder Magazine,223,Wallflower
Flamingosis,1435631712,284,2c3c4,2,Pilerats,163,Finesse (Hey Baby)
The Rebel Light,1431403218,217,22vx9,28,Off the Radar,205,Strangers
ZZ Ward,1436741790,165,2c860,5,Dancing Astronaut,258,LOVE 3X (R3HAB Mix)
