,artist,loved_count,mediaid,posted_count,sitename,time,title,loved
0,Sia,7158,2bbc8,3,Your Music Radar,216,California Dreamin,True
1,Lana Del Rey,4425,2b5c3,3,Oh My Rock,277,Born To Die (Absence Remix),True
2,Monster Rally,316,247x6,2,music islands,219,Chin-don-ya,True
3,Dusky,495,2bznk,6,Mixmag,384,Skin Deep,True
4,Major Lazer,10138,227j1,23,Maddecent,182,Aerosol Can (feat. Pharrell Williams),True
5,Miguel,15868,228mk,23,Site of Sound,205,Simplethings,True
6,TEEMID & Daniela Andrade,9479,226ye,8,I Heart Moosiq,263,Crave You (Flight Facilities Cover),True
7,OutKast,5012,2b6yd,3,Your Music Radar,194,Roses (PLS&TY Remix),True
8,Courtney Barnett,494,29w6h,4,said the gramophone,293,Depreston,True
9,French Montana,665,2c10q,5,Discobelle,229,Gucci Mane (feat. Lil Wayne & Rick Ross) (prod. by Kanye West),True
10,Robyn,1420,2c3ac,5,Music You Wanna Listen To,271,Dancing On My Own (Templeton Remix),True
11,Toro y Moi,1099,2c1d3,23,acid stag,189,2Late feat. Kool A.D. and SAFE,True
12,Crooked Colours,4376,2bt0t,7,Wonky Sensitive,229,Electric Feel (MGMT Cover),True
13,Alesso,3313,2c389,4,stereogum,191,This Summer's Gonna Hurt Like A Mother F****r (Alesso Remix) (Radio Edit),True
14,Klyne,6135,2c09d,21,Oh My Rock,187,Paralyzed,True
15,Gallant,5944,2c3pf,28,Anotherwhiskyformisterbukowski,204,Weight In Gold,True
16,Jack Garratt,4318,2c3mc,25,chillsoundsgoodmusic,225,Weathered,True
17,Cheers Elephant,5361,2bfxf,10,EUPHORIA. Magazine,212,Airliner,True
18,Tame Impala,4703,23383,54,Silence Nogood,274,Stranger In Moscow(( MJ cover)),True
19,The Pharcyde,15218,205k2,19,Lautstark,290,Runnin' (Bit Funk Remix),True
20,Crooked Colours,2848,204z0,16,music is art,215,Come Down,True
21,FETTY WAP,1217,2c41v,8,Abouttoblow,263,D.A.M DATS ALL ME,True
22,Ducktails,1372,2b5et,30,newmusic.cz,214,Headbanging In The Mirror,True
23,Cayucas,744,2b1kk,27,Indie is not a genre,218,Moony Eyed Walrus,True
24,Billy Bragg & Wilco,1093,30xf,27,Across The Kitchen Table,298,California Stars,True
25,Hibou,2006,2bmqa,22,barrygruff,259,Dissolve,True
26,Father John Misty,1490,27msa,44,2 U I Bestow,262,Bored In The USA,True
27,Real Estate,1060,21rvk,38,Fuzzy Logic,192,Talking Backwards,True
28,The Knocks,13736,15sj5,41,SFCritic,239,Dancing With The Dj,True
29,The Knocks,8641,2654z,11,Site of Sound,262,Classic (RAC Mix),True
30,The Knocks,21782,25xk6,27,SFCritic,249,Classic (feat. Powers),True
31,The Knocks,1942,2bamw,11,EDM Girl,327,Classic (Pat Lok Shymix),True
32,The Internet Music,3556,2c0ae,17,alltomorrowmusic,416,Girl feat. KAYTRANADA,True
33,COMPNY,1565,2bzm1,25,Little Indie Blogs,233,Gently Let You Down,True
34,Miguel feat. Wale,13442,239bn,8,Guilty Feet Have Got No Rhythm,314,Bennie and the Jets,True
