mediaid,tags
1bdjd,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
tbe2,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bdjm,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bdjc,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bbdt,"[u'folk rock', u'singer-songwriter', u'alt-country', u'seattle', u'northwest', u'americana']"
1bbdv,"[u'folk rock', u'singer-songwriter', u'alt-country', u'seattle', u'northwest', u'americana']"
1bdjq,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bd94,"[u'folk', u'singer-songwriter', u'americana', u'alt-country', u'acoustic']"
1bdk5,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bdjp,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bdjv,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1aasq,"[u'indie', u'catchy']"
1bdjs,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bdjg,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1b4px,[u'relaxing']
1b57r,"[u'morning maniac music', u'2010s', u'2011']"
1bdjz,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bdka,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bdj5,"[u'folk', u'rock', u'alternative', u'jozzylein', u'times ten', u'male vocals', u'indie', u'american', u'indie rock']"
1bdk2,[]
1bdjt,[]
17zay,[]
1bdjr,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
a1n6,"[u'singer-songwriter', u'alt-country', u'country', u'rock', u'alt country', u'ryan adams', u'americana', u'male vocalists', u'00s', u'true blood']"
1bdk0,[]
1bdjk,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bd4p,"[u'indie', u'indie rock', u'alt-country', u'rock', u'alternative']"
1ba1q,"[u'alt-country', u'americana', u'singer-songwriter', u'southern rock', u'southern rawbilly', u'post amoeba', u'christian', u'post grunge folk', u'post post', u'post core']"
1b8v4,"[u'singer-songwriter', u'alt-country', u'americana', u'rock', u'austin']"
1a63q,"[u'east coast rap', u'best of 2011', u'rap']"
1akfa,"[u'indie rock', u'alt-country', u'2011', u'2010s', u'bonnarooooooooo', u'best of 2011', u'radioparadise', u'rock', u'radio paradise', u'check out']"
1b8vc,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1b93v,"[u'alt-country', u'acoustic', u'tonder festival 2008', u'tipicos topicos', u'folk']"
1a8rj,"[u'rock', u'11', u'alternative', u'folk']"
1bbhr,"[u'indie', u'indie rock', u'alt-country', u'rock', u'alternative']"
1b5pj,"[u'dubstep', u'massive']"
190q4,[u'lieder des tages']
18bt7,"[u'indie', u'synthpop', u'electronic', u'best of 2011', u'winter', u'quirky', u'2010s', u'chill', u'2011', u'electropop']"
108jg,"[u'dreampop', u'british', u'viabytefm', u'chill', u'radiohead office chart', u'zajebiste', u'indie']"
1b6qs,[u'electro house']
18c30,"[u'dreampop', u'pop', u'fucking good', u'summertime', u'we are breathless', u'discovery', u'female vocalist']"
14wvc,"[u'acoustic', u'cover', u'beautiful', u'british', u'cover songs']"
rppc,"[u'indie', u'indie rock', u'female vocalist', u'canadian', u'alternative', u'rock']"
19jvd,[]
vjep,"[u'southern rock', u'alt-country', u'southern', u'indie', u'rock', u'hard rock', u'alternative', u'dbt', u'drive-by truckers', u'americana']"
19p5w,"[u'rock', u'11', u'alternative', u'folk']"
13smw,"[u'nashville', u'alt-country', u'indie', u'pay attention', u'recommended', u'kickasstic', u'americana']"
yj17,[]
1b7zm,"[u'2011', u'2010s']"
ma8d,[]
1b5g1,"[u'2010s', u'electro house', u'kelis', u'2011', u'calvin harris', u'electronica', u'electronic', u'summer', u'summerfeeling']"
19dre,"[u'redrage keys', u'dance', u'my 2010s', u'august 2011', u'feel good']"
d6gc,"[u'folk', u'acoustic', u'indie', u'beautiful', u'singer-songwriter', u'mellow', u'bon iver', u'melancholy', u'indie folk', u'sleep to this']"
w0q8,"[u'folk rock', u'indie', u'folk', u'2010s', u'mexican mavis', u'best of 2010s', u'australian', u'australia', u'sydney', u'special']"
1af10,"[u'hip hop', u'mac miller', u'rap', u'party', u'pop', u'boston', u'nice', u'awesome production']"
1ba1p,"[u'alt-country', u'americana', u'singer-songwriter', u'southern rock', u'southern rawbilly', u'post amoeba', u'christian', u'post grunge folk', u'post post', u'post core']"
1baxw,"[u'house', u'electronic', u'progressive house', u'electro', u'minimal']"
1h189,[]
158kj,"[u'house', u'club music']"
1b93h,"[u'rap', u'hip hop', u'midwest rap', u'xavier', u'bump', u'boii boii', u'carmelsoulsista', u'king polar']"
1b9aq,[u'female vocalist']
1b8y2,[]
1afzn,"[u'electronic', u'electro', u'french', u'dance', u'electronica']"
1ba33,"[u'indie', u'indie pop', u'alternative', u'indie rock', u'catchy', u'pop', u'foster the people', u'indie dance', u'rock', u'american']"
x1v7,"[u'pop', u'fav', u'monster', u'baby monster', u'remix']"
1b89w,"[u'singer-songwriter', u'underground hip hop', u'hip hop', u'rap', u'e-dubble', u'indie', u'producer']"
1b6d9,"[u'dutch house', u'house', u'electro house', u'club', u'progressive house', u'dance', u'electronica', u'electronic']"
18vtm,[u'brilliant']
1b0s0,"[u'rap', u'hip hop', u'eminem']"
1b24j,"[u'house', u'electro house', u'electro', u'electrohouse']"
1a9z9,"[u'drum and bass', u'trance', u'electronic', u'liquid funk', u'soul']"
1b6a2,[]
19qx6,[]
1b4ry,[]
1789c,"[u'african', u'world', u'mali', u'africa', u'french']"
124sg,"[u'indie pop', u'summer', u'indie', u'female vocalist', u'lo-fi', u'electronic', u'2010s', u'experimental', u'best of 2010s', u'sleigh bells']"
1753q,"[u'dubstep', u'chillout', u'chillstep', u'blackmill']"
10k0q,"[u'blues rock', u'rock', u'garage rock', u'indie rock', u'blues', u'indie', u'the black keys', u'2010s', u'best of 2010s', u'alternative']"
13n5s,"[u'rock', u'indie', u'indie rock', u'alternative', u'canadian', u'alternative rock', u'endless repeat', u'electronic', u'2010s', u'dreamy']"
15xt6,"[u'hip hop', u'alternative hip hop', u'aitch', u'awake', u'aitchrap', u'aitchsonic', u'lupe fiasco', u'aitchepic', u'chill', u'cover']"
17hp9,"[u'indie rock', u'rock', u'best of 2011', u'electronic', u'awesome', u'indie', u'conor oberst', u'pop', u'sasquatch 2011', u'male vocalists']"
z73x,"[u'electronic', u'experimental', u'electronica', u'awesome', u'best of 2010s', u'gilbert', u'alternative', u'indie', u'2010s', u'folktronica']"
y7dr,"[u'indie', u'experimental', u'indie pop', u'alternative', u'indie rock']"
15wcb,"[u'dubstep', u'electronic', u'listen loud', u'epic remix']"
1ahex,"[u'pop', u'dance', u'female vocalist', u'britney spears', u'legend']"
19k2h,"[u'indie pop', u'indie', u'shoegaze', u'rock', u'2011', u'pop']"
1aa3b,[u'dubstep rmx']
1ahcr,"[u'italian', u'rap', u'nick carter', u'howie dorough', u'canadian', u'spanish', u'rock', u'blues', u'hip hop', u'backstreet boys']"
18cmr,[]
1aez0,"[u'hip hop', u'beastie boys', u'2011', u'dope beat', u'rap', u'alternative', u'd', u'playlist 2011', u'2010s', u'rock']"
1ae4f,"[u'dubstep', u'chillstep', u'chillout']"
179kx,[]
1ab7h,"[u'xaphoon jones', u'passion pit', u'chiddy bang', u'the jackson five', u'mashups']"
zwnr,[]
18jdc,"[u'rap', u'hip hop', u'gangsta rap', u'west coast']"
17pca,"[u'house', u'electro house', u'progressive house', u'dutch', u'electronic']"
17610,[]
102c2,"[u'indie', u'indie pop', u'ethereal', u'chill', u'hipster', u'shoegaze', u'chillout', u'ambient', u'psychadelic', u'catchy']"
17pk5,[]
