mediaid,tags
yj17,"[u'indie', u'indie rock', u'alt-country', u'rock', u'alternative']"
ma8d,"[u'british i like', u'favs4265', u'great remix', u'summer', u'indie dance', u'radio', u'other level', u'nix partly', u'candidate', u'premium']"
1h189,[]
1b8y2,[]
1b6a2,"[u'house', u'progressive house', u'electronic']"
19qx6,"[u'chill', u'chillstep', u'calm', u'dubstep', u'soothing']"
1b4ry,"[u'house', u'acid']"
18cmr,[]
179kx,"[u'indie', u'icelandic', u'alternative', u'folk', u'female vocalist', u'check out', u'lo-fi', u'radioparadise', u'radio paradise', u'2012']"
zwnr,"[u'indie', u'indie pop', u'catchy', u'summer', u'happy', u'indie rock', u'alternative', u'pop', u'foster the people', u'awesome']"
17610,"[u'chillwave', u'indie', u'indie pop', u'2010s', u'best of 2011', u'pop', u'rock', u'carpark', u'indie rock', u'2011']"
17pk5,"[u'hip hop', u'rap', u'underground hip hop', u'pittsburgh']"
1dwf0,[]
1fg3p,"[u'hip hop', u'rap', u'underground rap', u'underground hip hop', u'toronto', u'canadian']"
18a02,"[u'hip hop', u'rocket shoes mixtapes']"
1ba1n,"[u'alt-country', u'americana', u'singer-songwriter', u'southern rock', u'southern rawbilly', u'post amoeba', u'christian', u'post grunge folk', u'post post', u'post core']"
12138,[]
12gk7,[]
121k0,[]
11zec,[]
12hca,[]
14c8p,[]
98wz,[]
11fnw,[]
11akb,[]
11egv,"[u'hip hop', u'rap', u'dirty south']"
10s43,[]
vchz,[u'me']
10dfz,"[u'mashup', u'2010s', u'hip hop']"
tbhd,[]
107z7,[]
n6m3,"[u'folk', u'indie folk', u'indie', u'british', u'acoustic', u'banjo', u'bluegrass', u'catchy', u'2009', u'folk rock']"
wtrs,[]
w912,[]
c520,"[u'indie', u'french', u'indie pop', u'pop', u'indie rock', u'electronic', u'alternative', u'chill', u'sweet', u'rock']"
p8k5,"[u'indie', u'dance', u'electronic', u'riding-my-bike', u'fifa 2010s', u'alternative', u'fav bass lines', u'fotomotor-work', u'best of 2009', u'whitest boy alive']"
x834,[]
tn1m,"[u'relax', u'lo-fi', u'indie', u'keep the fate', u'rock', u'alternative', u'experimental']"
r3xt,"[u'mashup', u'weird', u'00s', u'hip hop']"
vm5p,[]
bfyh,"[u'indie', u'indie rock', u'band of horses', u'beautiful', u'melancholy', u'rock', u'alternative', u'one tree hill', u'mellow', u'american']"
trt6,[]
p8gq,"[u'audioase', u're-re-re-re-re-mixed songs', u'epicness', u'2k9 mix', u'-fly away-']"
q92d,"[u'rap', u'hip hop', u'eminem']"
t624,"[u'electro', u'electronic', u'dance', u'italian', u'indie']"
tg8y,[]
scx3,"[u'electro', u'electronic', u'boys noize', u'dance', u'electro house', u'gute laune', u'german', u'party', u'nurave', u'ohfuck']"
1cjz9,"[u'electronic', u'ambient', u'shoegaze', u'electronica', u'beautiful', u'dreampop', u'chillout', u'post-rock', u'indie', u'dreamy']"
symq,[]
t6xv,[]
10tpe,[]
t9ww,"[u'electronic', u'breakbeat', u'electro', u'breaks']"
spj8,"[u'electronic', u'ambient', u'trance', u'house', u'dance', u'netlabel']"
hptp,[u'cover']
srm4,[]
ptrz,"[u'electronic', u'chillout', u'norwegian', u'electronica', u'r\xf6yksopp', u'indie', u'trip-hop']"
rp9h,"[u'electronic', u'electropop', u'delicious', u'electro', u'house', u'downtempo', u'techno', u'disco', u'fav', u'electronica']"
sq3a,"[u'ambient', u'post rock', u'instrumental', u'post-rock', u'new age', u'chancer', u'cool', u'mateuszbestsongseva', u'exogaze', u'sadandslow']"
sqqv,[]
