tag,total,tag_false_rate
'',1,0.00265957446809
'00s',4,0.0106382978723
'11',1,0.00265957446809
'1818',1,0.00265957446809
'2000s',1,0.00265957446809
'2009',1,0.00265957446809
'2010s',17,0.0452127659574
'2011',10,0.0265957446809
'2012',1,0.00265957446809
'2013 single',1,0.00265957446809
'2013',1,0.00265957446809
'2014',1,0.00265957446809
'5',1,0.00265957446809
'5432fun',2,0.00531914893617
'60s garage',1,0.00265957446809
'60s',1,0.00265957446809
'80s',2,0.00531914893617
'90s',4,0.0106382978723
'abstract',1,0.00265957446809
'acerbic',1,0.00265957446809
'acid',1,0.00265957446809
'acoustic',12,0.031914893617
'africa',1,0.00265957446809
'african',2,0.00531914893617
'again',1,0.00265957446809
'aitch',1,0.00265957446809
'aitchepic',1,0.00265957446809
'aitchrap',1,0.00265957446809
'aitchsonic',1,0.00265957446809
'alt country',2,0.00531914893617
'alt-country',60,0.159574468085
'alternative dance',1,0.00265957446809
'alternative folk',1,0.00265957446809
'alternative hip hop',2,0.00531914893617
'alternative pop',1,0.00265957446809
'alternative rap',3,0.00797872340426
'alternative rock',9,0.0239361702128
'alternative',43,0.114361702128
'ambient',11,0.0292553191489
'american',14,0.0372340425532
'americana',20,0.0531914893617
'angry',1,0.00265957446809
'animal kingdom',1,0.00265957446809
'animals',1,0.00265957446809
'art punk',1,0.00265957446809
'assssssssid',1,0.00265957446809
'athens',1,0.00265957446809
'audio video disco',1,0.00265957446809
'august 2011',1,0.00265957446809
'austin',1,0.00265957446809
'australia',1,0.00265957446809
'australian',9,0.0239361702128
'avant-garde',2,0.00531914893617
'awake',1,0.00265957446809
'awesome production',1,0.00265957446809
'awesome',5,0.0132978723404
'baby monster',1,0.00265957446809
'backstreet boys',1,0.00265957446809
'badass',1,0.00265957446809
'bands we like',1,0.00265957446809
'bass',3,0.00797872340426
'beastie boys',1,0.00265957446809
'beat',1,0.00265957446809
'beats',1,0.00265957446809
'beautiful',3,0.00797872340426
'belgian',1,0.00265957446809
'berkeley',1,0.00265957446809
'best of 2008-9',1,0.00265957446809
'best of 2010s',3,0.00797872340426
'best of 2011',7,0.0186170212766
'bitch house',1,0.00265957446809
'bittersweet',1,0.00265957446809
'blip-hop',1,0.00265957446809
'bloodshot records',1,0.00265957446809
'bloodshot',1,0.00265957446809
'blue sky days',1,0.00265957446809
'blues',6,0.0159574468085
'boii boii',1,0.00265957446809
'bombelki',1,0.00265957446809
'bon iver',1,0.00265957446809
'bonnarooooooooo',1,0.00265957446809
'boston',1,0.00265957446809
'brazilian',1,0.00265957446809
'break up songs',1,0.00265957446809
'breakcore',1,0.00265957446809
'brett lane',1,0.00265957446809
'brilliant',1,0.00265957446809
'british',17,0.0452127659574
'britney spears',1,0.00265957446809
'britpop',1,0.00265957446809
'brujahton',1,0.00265957446809
'bruno mars',1,0.00265957446809
'bump',1,0.00265957446809
'calm',1,0.00265957446809
'calvin harris',1,0.00265957446809
'campfire',1,0.00265957446809
'canada',1,0.00265957446809
'canadian',7,0.0186170212766
'carmelsoulsista',1,0.00265957446809
'carpark',1,0.00265957446809
'catchy',6,0.0159574468085
'champaign-urbana',1,0.00265957446809
'cheating',1,0.00265957446809
'check out again',1,0.00265957446809
'check out',1,0.00265957446809
'cheerful',1,0.00265957446809
'chicago',3,0.00797872340426
'chill',8,0.0212765957447
'chillout',15,0.0398936170213
'chillstep',3,0.00797872340426
'chillwave',10,0.0265957446809
'christian',3,0.00797872340426
'club misfits',1,0.00265957446809
'club music',1,0.00265957446809
'club',5,0.0132978723404
'coachella',1,0.00265957446809
'cocktails at sunset',1,0.00265957446809
'conor oberst',1,0.00265957446809
'conscious hip hop',2,0.00531914893617
'contemporary r&b',1,0.00265957446809
'cosmic dubstep',1,0.00265957446809
'country folk indie',1,0.00265957446809
'country',10,0.0265957446809
'cover songs',1,0.00265957446809
'cover version',1,0.00265957446809
'cover',5,0.0132978723404
'd',1,0.00265957446809
'dance',29,0.0771276595745
'dar paklausyti daugia',1,0.00265957446809
'dark',1,0.00265957446809
'dark-ish',1,0.00265957446809
'darkwave',1,0.00265957446809
'dayton',1,0.00265957446809
'daytrotter',1,0.00265957446809
'dc',1,0.00265957446809
'deep house',1,0.00265957446809
'diana',1,0.00265957446809
'diplo',1,0.00265957446809
'dirty electro',1,0.00265957446809
'dirty south',1,0.00265957446809
'disco house',1,0.00265957446809
'disco',7,0.0186170212766
'discovery',1,0.00265957446809
'dj',1,0.00265957446809
'dope beat',1,0.00265957446809
'dopeness',1,0.00265957446809
'downtempo',7,0.0186170212766
'dreampop',16,0.0425531914894
'dreamy',3,0.00797872340426
'drum and bass',2,0.00531914893617
'dub',3,0.00797872340426
'dubstep rmx',1,0.00265957446809
'dubstep',15,0.0398936170213
'duo',1,0.00265957446809
'dutch house',1,0.00265957446809
'e-dubble',1,0.00265957446809
'east coast rap',1,0.00265957446809
'ed banger records',1,0.00265957446809
'edit',1,0.00265957446809
'electro house',13,0.0345744680851
'electro',28,0.0744680851064
'electroclash',1,0.00265957446809
'electrohouse',1,0.00265957446809
'electronic',111,0.295212765957
'electronic-lounge',1,0.00265957446809
'electronica',37,0.0984042553191
'electropop',13,0.0345744680851
'eminem',2,0.00531914893617
'endless repeat',1,0.00265957446809
'epic remix',1,0.00265957446809
'epic',2,0.00531914893617
'ethereal',1,0.00265957446809
'exboyfriend',1,0.00265957446809
'excellent song',1,0.00265957446809
'experimental',23,0.061170212766
'explicit',1,0.00265957446809
'fav',1,0.00265957446809
'favourite remixes',1,0.00265957446809
'featuring',1,0.00265957446809
'feel good',1,0.00265957446809
'fem rap',1,0.00265957446809
'female vocalist',34,0.0904255319149
'female vocals',1,0.00265957446809
'female-vocalist',1,0.00265957446809
'folk rock',7,0.0186170212766
'folk',63,0.167553191489
'folktronic',1,0.00265957446809
'folktronica',2,0.00531914893617
'for later',1,0.00265957446809
'foster the people',2,0.00531914893617
'freak folk',2,0.00531914893617
'free-hop',1,0.00265957446809
'french touch',1,0.00265957446809
'french',4,0.0106382978723
'fuck yeah',1,0.00265957446809
'fuck yo',1,0.00265957446809
'fucking awesome',1,0.00265957446809
'fucking good',1,0.00265957446809
'fun music',1,0.00265957446809
'fun',2,0.00531914893617
'funk',5,0.0132978723404
'funky',1,0.00265957446809
'fusion',1,0.00265957446809
'future garage',1,0.00265957446809
'gangsta rap',1,0.00265957446809
'garage psychedelic',1,0.00265957446809
'garage rock',3,0.00797872340426
'german',1,0.00265957446809
'gilbert',1,0.00265957446809
'glo-fi',2,0.00531914893617
'good tims',1,0.00265957446809
'gorgeousness',1,0.00265957446809
'great cover',1,0.00265957446809
'greensboro',1,0.00265957446809
'grime',1,0.00265957446809
'groove nation',1,0.00265957446809
'groove',1,0.00265957446809
'groovy',1,0.00265957446809
'grove punk',1,0.00265957446809
'grunge',1,0.00265957446809
'guardian new music',1,0.00265957446809
'hammer stimmer',1,0.00265957446809
'hand clapping',1,0.00265957446809
'happy dance',1,0.00265957446809
'happy',3,0.00797872340426
'hard-pop',1,0.00265957446809
