artist,loved_count,mediaid,posted_count,sitename,time,title,loved
Zimmer,1972,2c369,11,umstrum||music,256,Heartbreak Reputation (feat. Polina),FALSE
Meek Mill,1437,2c3b0,1,House of Lords,199,R.I.C.O feat. Drake,FALSE
flor,2296,2c135,11,Indietronica,246,warm blood,FALSE
Atlas Genius,1801,2c0ff,6,Inthejunkyardmusic,249,Molecules,FALSE
Robyn,3729,2c3tm,5,acid stag,215,Call Your Girlfriend (Thero & Taylor Wise Remix) (Feat. Allison Weiss),FALSE
GIBBZmusic,1030,2c12f,15,CLICK AND LISTEN IT,211,I Found You,FALSE
KAPTAN,1695,2c05m,16,The Burning Ear,242,Anywhere We Go,FALSE
Oh Wonder,5698,2c48m,17,The New LoFi,208,Landslide,FALSE
Klyne,6135,2c09d,21,Oh My Rock,187,Paralyzed,TRUE
Dillon Francis,2752,2c2wx,6,Waxhole,193,Bruk Bruk (I Need Your Lovin),FALSE
The Knocks,13736,15sj5,41,SFCritic,239,Dancing With The Dj,TRUE
The Knocks,1942,2bamw,11,EDM Girl,327,Classic (Pat Lok Shymix),TRUE
PHFAT & Al Bairre,210,2c3hh,1,Indie Shuffle,211,Caviar Dreams,FALSE
pools,384,2a90h,3,Delicieuse Musique,129,☕ coffee in the morning ☕,FALSE
Toro y Moi,463,2c2fa,16,Noonday Tune,93,That Instead of This,FALSE
I'lls,685,2c1kb,15,ilovepie,246,Keep,FALSE
Doe Paoro,486,2b8vq,8,Northern Transmissions,246,The Wind (feat. Adam Rhodes),FALSE
Lawrence Taylor,3505,2bw9n,7,EUPHORIA. Magazine,184,Bang Bang,FALSE
One T & Cool T,904,2bxam,5,Silence Nogood,232,The Magic Key (LeMarquis & FAB Remix),FALSE
Amen Dunes,871,22ksd,47,Fuzzy Logic,319,Lonely Richard,FALSE
Tame Impala,4703,23383,54,Silence Nogood,274,Stranger In Moscow(( MJ cover)),TRUE
Crooked Colours,4364,2bt0t,7,Wonky Sensitive,229,Electric Feel (MGMT Cover),TRUE
ZEDD feat. Selena Gomez,1315,2bxcb,3,Music You Wanna Listen To,242,I Want You To Know (Steve James Remix),FALSE
Wolf Alice,2690,2asey,40,Turntable Kitchen,225,Bros,FALSE
Panda Bear,704,2c1g8,15,surviving the golden age,211,Crosswords (Pete Rock Remix),FALSE
Wavves X Cloud Nothings,299,2c321,12,Noonday Tune,200,No Life For Me,FALSE
Michael Calfan,1109,2c14y,6,Inyourspeakers Media,254,Mercy (Original Mix),FALSE
BAILE,1426,2c09y,9,CLICK AND LISTEN IT,296,Matter (feat. Felicia Douglass),FALSE
Robyn,1420,2c3ac,5,Music You Wanna Listen To,271,Dancing On My Own (Templeton Remix),TRUE
Toro y Moi,1099,2c1d3,23,acid stag,189,2Late feat. Kool A.D. and SAFE,TRUE
Ty Dolla $ign,1794,2c24a,11,Pitchfork,286,Blasé feat. Future & Rae Sremmurd,FALSE
FETTY WAP,1214,2c41v,8,Abouttoblow,263,D.A.M DATS ALL ME,TRUE
A$AP Rocky,3923,2c367,2,Dancing Astronaut,292,LSD (Shemce Remix),FALSE
Alesso,3312,2c389,4,stereogum,191,This Summer's Gonna Hurt Like A Mother F****r (Alesso Remix) (Radio Edit),TRUE
Tame Impala,961,2ahss,1,Indie Shuffle,243,Cause I'm A Man,FALSE
Black Rebel Motorcycle Club,2666,zjt7,34,Shelter From the Norm,226,Beat The Devil's Tattoo,FALSE
The Besnard Lakes,604,yqkf,110,scruffy the yak,282,Albatross,FALSE
RL Grime,3547,25hg1,14,buffaBLOG,237,Core,FALSE
Gallant,5944,2c3pf,28,Anotherwhiskyformisterbukowski,204,Weight In Gold,TRUE
Jack Garratt,4317,2c3mc,25,chillsoundsgoodmusic,225,Weathered,TRUE
Matrimony,2323,29gay,9,Audio Aquarium,260,Giant (Ghosts Remix),FALSE
Real Estate,1060,21rvk,38,Fuzzy Logic,192,Talking Backwards,TRUE
Natalie Prass,732,27cmn,24,The Swollen Fox,213,Why Don't You Believe In Me,FALSE
Father John Misty,1490,27msa,44,2 U I Bestow,262,Bored In The USA,TRUE
Hibou,2006,2bmqa,22,barrygruff,259,Dissolve,TRUE
Billy Bragg & Wilco,1093,30xf,27,Across The Kitchen Table,298,California Stars,TRUE
Blitzen Trapper,2888,k47r,64,scruffy the yak,209,Black River Killer,FALSE
Damien Jurado,2019,20jv6,38,The Swollen Fox,198,Silver Timothy,FALSE
Lana Del Rey,4425,2b5c3,3,Oh My Rock,277,Born To Die (Absence Remix),TRUE
Metric,2324,v55s,9,i (heart) music,187,Don't Think Twice It's Alright (Bob Dylan Cover),TRUE
Tame Impala,700,2atnn,4,barrygruff,247,Cause I'm a Man,FALSE
Unknown Mortal Orchestra,518,2aade,8,Cause=Time,192,Multi-Love (20syl Remix),FALSE
Sinkane,1891,24y1z,31,JayeL Audio Music,197,Hold Tight,FALSE
Unknown Mortal Orchestra,7944,29adb,84,umstrum||music,251,Multi-Love,FALSE
Temples,1441,20jvd,49,We All Want Someone To Shout For,222,Mesmerise,FALSE
Tame Impala,12229,2a1mf,87,The Swollen Fox,469,Let It Happen,FALSE
Unknown Mortal Orchestra,3887,2avcn,65,Too Many Blogs,257,Can't Keep Checking My Phone,FALSE
Blue Hawaii,1467,27ams,15,What Else Is There?,264,Get Happy,FALSE
Cheers Elephant,5361,2bfxf,10,EUPHORIA. Magazine,212,Airliner,TRUE
Major Lazer,10138,227j1,23,Maddecent,182,Aerosol Can (feat. Pharrell Williams),TRUE
The Knocks,21782,25xk6,27,SFCritic,249,Classic (feat. Powers),TRUE
Oliver,8614,26gx7,13,JayeL Audio Music,344,Light Years Away,FALSE
Chet Faker,2614,2bwyg,22,HEY,206,Bend,FALSE
Skylar Spence,1316,2bwjt,27,Felinno,246,Can't You See,FALSE
Toro y Moi,1368,2btxp,8,acid stag,145,room for 1zone,FALSE
Cayucas,744,2b1kk,27,Indie is not a genre,218,Moony Eyed Walrus,TRUE
Ducktails,1372,2b5et,30,newmusic.cz,214,Headbanging In The Mirror,TRUE
Lapalux,3549,29q40,25,music is art,349,Don't Mean A Thing,FALSE
Vaults,1538,27nrm,12,Little Indie Blogs,204,Poison,FALSE
Toro Y Moi,1801,28ykp,43,KEXP Blog,222,Empty Nesters,FALSE
ON AN ON,1463,2bnef,8,The Burning Ear,227,It's Not Over (The Twelves Remix),FALSE
Lower Dens,1994,1hcvp,132,MUSIC BETWEEN FRIENDS,302,Brains,FALSE
The Knocks,6766,1t7dh,7,aerial noise,276,The Feeling (Dave Edwards Remix),FALSE
